FECHA,MERVAL,UVA,BADLAR,MPFONDO,MEP
12/1/2022,"85.100,27","98,44","37,44","3.070,47","202,09"
11/1/2022,"84.702,31","98,36","37,38","3.068,03","202,07"
10/1/2022,"83.746,30","98,13","37,63","3.065,58","205,33"
7/1/2022,"84.402,07","98,05","37,38","3.058,28","203,05"
6/1/2022,"83.761,35","97,97","34,19","3.055,86","203,05"
5/1/2022,"83.835,72","97,89","34,25","3.053,43","199,15"
4/1/2022,"85.285,98","97,82","34,25","3.051,01","196,39"
3/1/2022,"85.579,11","97,58","34,19","3.048,60","197,52"
30/12/2021,"83.500,11","97,43","34,13","3.038,99","197,19"
29/12/2021,"84.006,50","97,35","34,19","3.036,58","194,40"
28/12/2021,"82.783,68","97,27","34,25","3.034,19","193,26"
27/12/2021,"84.581,25","97,04","34,25","3.031,77","193,20"
23/12/2021,"84.850,30","96,89","34,25","3.022,12",#N/A
22/12/2021,"83.651,80","96,81","34,19","3.019,70",#N/A
21/12/2021,"84.137,68","96,73","34,25","3.017,28","201,01"
20/12/2021,"81.908,15","96,50","34,25","3.014,87","199,94"
17/12/2021,"83.234,04","96,42","34,25","3.007,75","197,79"
16/12/2021,"82.995,23","96,35","34,19","3.005,37","194,53"
15/12/2021,"80.939,44","96,24","34,19","3.003,01","191,66"
14/12/2021,"82.178,84","96,13","34,31","3.000,66","193,35"
13/12/2021,"81.947,66","95,80","34,13","2.998,31","195,41"
10/12/2021,"85.441,38","95,69","34,19","2.991,26","196,99"
9/12/2021,"86.544,92","95,47","34,25","2.988,92","196,79"
7/12/2021,"89.242,77","95,36","34,13","2.984,24","200,60"
6/12/2021,"88.287,43","95,03","34,25","2.981,91","203,46"
3/12/2021,"86.359,77","94,92","34,13","2.974,88","204,55"
2/12/2021,"87.451,27","94,81","34,06","2.972,55","204,21"
1/12/2021,"85.164,78","94,70","34,19","2.970,22","203,48"
30/11/2021,"79.315,79","94,60","34,13","2.967,90","201,92"
29/11/2021,"79.094,93","94,27","34,25","2.965,57","198,73"
26/11/2021,"80.369,02","94,16","34,13","2.958,60","201,17"
25/11/2021,"84.956,92","94,06","34,13","2.956,28","202,07"
24/11/2021,"83.481,20","93,95","34,19","2.953,95","204,95"
23/11/2021,"83.770,51","93,52","34,19","2.951,63","205,72"
19/11/2021,"85.695,15","93,41","34,19","2.942,35","205,58"
18/11/2021,"89.512,44","93,30","34,25","2.940,03","203,79"
17/11/2021,"87.541,77","93,20","34,19","2.937,70","201,43"
16/11/2021,"89.674,15","93,09","34,25","2.935,36","199,57"
15/11/2021,"92.999,37","92,78","34,13","2.933,02","197,60"
12/11/2021,"94.963,42","92,68","34,13","2.926,03","198,50"
11/11/2021,"95.943,84","92,57","34,00","2.923,69","198,93"
10/11/2021,"95.130,59","92,47","34,19","2.921,36","198,91"
9/11/2021,"94.381,35","92,37","34,19","2.919,03","200,27"
8/11/2021,"96.044,88","92,06","34,25","2.916,71","202,60"
5/11/2021,"92.895,88","91,96","34,25","2.909,77","205,23"
4/11/2021,"91.258,15","91,86","34,19","2.907,44","201,64"
3/11/2021,"92.095,02","91,76","34,13","2.905,12","204,51"
2/11/2021,"89.273,05","91,65","34,13","2.902,83","206,18"
1/11/2021,"87.460,35","91,35","34,25","2.900,54","204,59"
29/10/2021,"83.560,96","91,25","34,13",#N/A,"198,47"
28/10/2021,"86.034,23","91,15","34,13","2.891,35","193,70"
27/10/2021,"85.353,13","91,05","34,13","2.889,05","193,73"
26/10/2021,"88.907,82","90,95","34,13","2.886,73","191,64"
25/10/2021,"89.391,76","90,64","34,13","2.884,40","190,21"
22/10/2021,"86.898,52","90,54","34,25","2.877,45","188,86"
21/10/2021,"86.795,26","90,44","34,19","2.875,13","188,58"
20/10/2021,"87.055,66","90,34","34,13","2.872,81","187,81"
19/10/2021,"84.307,98","90,24","34,13","2.870,49","189,48"
18/10/2021,"82.859,69","89,94","34,19","2.868,17","187,57"
15/10/2021,"81.990,22","89,87","34,06","2.861,21","187,28"
14/10/2021,"80.138,02","89,79","34,06","2.858,89","185,65"
13/10/2021,"78.427,93","89,72","34,19","2.856,57","184,12"
12/10/2021,"77.927,87","89,35","34,13","2.854,25","181,62"
7/10/2021,"77.553,31","89,28","34,13","2.842,68","182,66"
6/10/2021,"77.443,10","89,20","34,25","2.840,36","181,28"
5/10/2021,"78.191,50","89,13","34,06","2.838,06","177,16"
4/10/2021,"77.578,90","88,91","34,13","2.835,77","177,65"
1/10/2021,"77.626,16","88,84","34,19","2.828,90","178,34"
30/9/2021,"77.363,64","88,76","34,19","2.826,62","176,63"
29/9/2021,"76.589,27","88,69","34,19","2.824,33","179,45"
28/9/2021,"75.808,43","88,62","34,13","2.822,05","180,05"
27/9/2021,"75.687,52","88,40","34,13","2.819,76","179,94"
24/9/2021,"74.180,20","88,33","34,13","2.812,91","179,92"
23/9/2021,"74.743,42","88,25","34,25","2.810,64","179,92"
22/9/2021,"74.750,23","88,18","34,19","2.808,36","177,41"
21/9/2021,"73.918,62","88,11","34,13","2.806,09","176,84"
20/9/2021,"73.635,15","87,89","34,19","2.803,81","176,45"
17/9/2021,"78.512,09","87,82","34,13","2.796,96","175,40"
16/9/2021,"79.738,13","87,75","34,25","2.794,68","173,80"
15/9/2021,"78.488,50","87,66","34,06","2.792,40","173,19"
14/9/2021,"78.989,23","87,58","33,94","2.790,12","173,24"
13/9/2021,"80.065,91","87,33","34,19","2.787,84","172,65"
10/9/2021,"75.895,02","87,25","34,06","2.781,00","177,72"
9/9/2021,"77.127,01","87,16","34,19","2.778,72","174,81"
8/9/2021,"77.459,00","87,08","34,25","2.776,42","173,48"
7/9/2021,"79.004,77","87,00","34,19","2.774,12","172,34"
6/9/2021,"76.002,98","86,75","34,31","2.771,83","172,26"
3/9/2021,"74.734,95","86,67","34,13","2.765,01","173,14"
2/9/2021,"75.115,05","86,58","34,13","2.762,74","172,89"
1/9/2021,"75.232,61","86,50","34,19","2.760,49","172,00"
31/8/2021,"76.451,68","86,42","34,19","2.758,23","171,35"
30/8/2021,"76.329,42","86,17","34,19","2.755,98","170,77"
27/8/2021,"73.203,63","86,09","34,13","2.749,19","172,27"
26/8/2021,"71.550,54","86,01","34,13","2.746,94","172,26"
25/8/2021,"72.009,09","85,93","34,19","2.744,69","170,93"
24/8/2021,"71.353,80","85,84","34,13","2.742,45","170,12"
23/8/2021,"69.050,34","85,60","34,19","2.740,20","170,45"
20/8/2021,"67.822,20","85,52","34,06","2.733,47","173,99"
19/8/2021,"66.681,73","85,44","34,19","2.731,23","173,96"
18/8/2021,"67.094,33","85,35","34,06","2.728,99","172,09"
17/8/2021,"67.999,04","85,02","34,25","2.726,75","170,23"
13/8/2021,"69.544,77","84,93","34,13","2.717,78","170,36"
12/8/2021,"69.492,58","84,85","34,19","2.715,55","169,55"
11/8/2021,"69.475,20","84,76","34,06","2.713,31","170,70"
10/8/2021,"68.023,12","84,67","34,19","2.711,07","169,17"
9/8/2021,"66.096,38","84,42","34,25","2.708,81","170,18"
6/8/2021,"65.860,91","84,33","34,25","2.702,13","170,61"
5/8/2021,"66.136,51","84,25","34,19","2.699,90","171,06"
4/8/2021,"65.088,13","84,16","34,00","2.697,68","170,12"
3/8/2021,"65.873,55","84,07","34,19","2.695,47","170,23"
2/8/2021,"65.939,58","83,82","34,19","2.693,27","169,87"
30/7/2021,"66.005,29","83,73","34,13","2.686,65","170,02"
29/7/2021,"67.315,59","83,65","34,13","2.684,47","169,80"
28/7/2021,"66.553,45","83,56","34,13","2.682,29","168,91"
27/7/2021,"65.688,30","83,48","34,19","2.680,10","170,15"
26/7/2021,"65.530,88","83,22","34,19","2.677,91","170,49"
23/7/2021,"64.841,23","83,14","34,13","2.671,35","169,06"
22/7/2021,"65.675,09","83,06","34,06","2.669,16","169,26"
21/7/2021,"65.832,21","82,97","34,19","2.666,97","168,90"
20/7/2021,"63.391,65","82,89","34,19","2.664,79","168,64"
19/7/2021,"62.133,15","82,63","34,13","2.662,60","167,76"
16/7/2021,"63.090,80","82,55","34,06","2.656,04","166,31"
15/7/2021,"63.484,55","82,46","34,19","2.653,86","166,71"
14/7/2021,"63.959,30","82,37","34,13","2.651,67","165,73"
13/7/2021,"64.374,74","82,28","33,88","2.649,48","165,73"
12/7/2021,"64.215,26","81,93","34,13","2.647,30","166,31"
8/7/2021,"62.371,57","81,84","34,19","2.638,61","167,57"
7/7/2021,"63.383,23","81,75","34,25","2.636,44","168,63"
6/7/2021,"63.562,99","81,66","34,19","2.634,27","168,53"
5/7/2021,"64.848,56","81,40","34,00","2.632,10","167,02"
2/7/2021,"63.330,37","81,31","34,19","2.625,63","167,79"
1/7/2021,"62.059,97","81,22","34,13","2.623,49","166,36"
30/6/2021,"62.371,95","81,13","34,13","2.621,34","164,82"
29/6/2021,"62.972,04","81,05","34,06","2.619,20","164,47"
28/6/2021,"64.150,87","80,78","34,13","2.617,05","164,14"
25/6/2021,"65.133,46","80,70","34,13","2.610,69","165,53"
24/6/2021,"66.933,06","80,61","34,06","2.608,58","162,94"
23/6/2021,"66.089,94","80,52","34,19","2.606,48","162,26"
22/6/2021,"65.901,63","80,17","34,13","2.604,36","161,51"
18/6/2021,"65.136,00","80,09","34,19","2.595,96","160,80"
17/6/2021,"66.440,20","80,00","34,00","2.593,86","160,92"
16/6/2021,"67.575,54","79,91","34,13","2.591,76","159,91"
15/6/2021,"67.005,83","79,81","34,19","2.589,66","158,81"
14/6/2021,"66.836,84","79,50","34,13","2.587,56","157,71"
11/6/2021,"66.093,97","79,40","34,13","2.581,26","158,18"
10/6/2021,"68.144,63","79,29","34,25","2.579,16","159,21"
9/6/2021,"68.104,99","79,19","34,00","2.577,06","159,75"
8/6/2021,"66.390,28","79,09","34,19","2.574,96","160,29"
7/6/2021,"68.151,14","78,78","34,25","2.572,87","161,40"
4/6/2021,"66.190,06","78,68","33,88","2.566,59","160,79"
3/6/2021,"64.303,05","78,58","34,13","2.564,51","161,99"
2/6/2021,"62.659,50","78,48","34,19","2.562,42","162,16"
1/6/2021,"61.095,96","78,37","34,06","2.560,34","161,08"
31/5/2021,"59.268,94","78,07","34,13","2.558,27","160,65"
28/5/2021,"59.212,96","77,97","34,06","2.552,06","159,90"
27/5/2021,"57.499,49","77,87","34,13","2.550,01","159,07"
26/5/2021,"56.598,95","77,37","34,19","2.547,97","158,40"
21/5/2021,"56.221,88","77,26","34,06","2.537,83","159,36"
20/5/2021,"57.109,45","77,16","34,13","2.535,80","158,33"
19/5/2021,"55.990,02","77,06","34,19","2.533,77","157,60"
18/5/2021,"56.078,55","76,97","34,19","2.531,74","154,95"
17/5/2021,"56.094,99","76,65","34,06","2.529,71","154,95"
14/5/2021,"54.850,06","76,53","34,06","2.523,64","154,55"
13/5/2021,"52.625,93","76,41","34,19","2.521,61","153,91"
12/5/2021,"51.020,21","76,29","34,19","2.519,59","153,02"
11/5/2021,"51.093,99","76,17","34,13","2.517,56","153,20"
10/5/2021,"51.750,27","75,81","34,00","2.515,52","153,76"
7/5/2021,"51.419,49","75,69","34,13","2.509,48","154,54"
6/5/2021,"49.389,34","75,58","34,13","2.507,46","154,15"
5/5/2021,"49.152,27","75,46","33,88","2.505,45","155,08"
4/5/2021,"48.655,52","75,34","34,13","2.503,44","155,09"
3/5/2021,"48.872,51","74,99","34,25","2.501,45","154,09"
30/4/2021,"49.056,10","74,87","34,06","2.495,48","152,92"
29/4/2021,"50.065,20","74,75","34,19","2.493,50","152,98"
28/4/2021,"50.043,81","74,64","33,94","2.491,51","152,87"
27/4/2021,"48.962,16","74,52","34,13","2.489,53","151,40"
26/4/2021,"47.931,27","74,17","34,06","2.487,55","150,61"
23/4/2021,"47.374,47","74,06","34,13","2.481,60","148,39"
22/4/2021,"47.122,62","73,94","34,25","2.479,62","145,50"
21/4/2021,"47.616,52","73,82","34,13","2.477,64","145,70"
20/4/2021,"46.894,48","73,71","34,06","2.475,66","146,60"
19/4/2021,"48.026,29","73,36","34,19","2.473,66","144,42"
16/4/2021,"47.664,34","73,25","34,13","2.467,73","143,72"
15/4/2021,"47.093,25","73,17","34,06","2.465,73","143,75"
14/4/2021,"47.299,02","73,08","34,00","2.463,73","143,41"
13/4/2021,"47.679,06","73,00","34,19","2.461,73","142,77"
12/4/2021,"48.109,61","72,75","34,19","2.459,75","144,27"
9/4/2021,"48.845,99","72,67","34,06","2.453,87","144,85"
8/4/2021,"49.630,56","72,58","34,06","2.451,89","144,86"
7/4/2021,"50.128,19","72,50","34,06","2.449,92","143,87"
6/4/2021,"50.328,34","72,42","34,13","2.447,96","143,84"
5/4/2021,"48.597,71","72,01","33,94","2.446,00","141,63"
31/3/2021,"47.982,39","71,92","34,06","2.436,28","141,67"
30/3/2021,"48.090,66","71,84","34,13","2.434,32","140,21"
29/3/2021,"47.240,95","71,60","33,75","2.432,36","138,85"
26/3/2021,"46.440,78","71,52","34,19","2.426,57","138,77"
25/3/2021,"46.856,41","71,35","34,00","2.424,64","141,32"
23/3/2021,"48.615,26","71,27","34,19","2.420,77","142,88"
22/3/2021,"49.185,87","71,03","34,13","2.418,83","143,14"
19/3/2021,"48.976,00","70,95","34,13","2.413,00","144,38"
18/3/2021,"48.599,26","70,87","34,06","2.411,05","145,23"
17/3/2021,"49.916,45","70,79","34,13","2.409,11","145,44"
16/3/2021,"49.646,77","70,70","34,06","2.407,16","144,93"
15/3/2021,"50.458,30","70,41","34,00","2.405,20","145,20"
12/3/2021,"49.070,98","70,31","34,19","2.399,30","145,00"
11/3/2021,"48.360,71","70,21","34,19","2.397,34","144,62"
10/3/2021,"47.339,46","70,11","34,00","2.395,37","143,36"
9/3/2021,"46.476,01","70,01","34,06","2.393,39","146,63"
8/3/2021,"46.291,77","69,72","34,19","2.391,41","146,65"
5/3/2021,"47.242,26","69,62","33,88","2.385,51","146,65"
4/3/2021,"47.808,21","69,53","33,88","2.383,53","145,70"
3/3/2021,"47.325,06","69,43","34,19","2.381,57","146,59"
2/3/2021,"48.127,32","69,33","34,06","2.379,61","146,62"
1/3/2021,"48.996,26","69,04","34,06","2.377,65","144,35"
26/2/2021,"48.432,27","68,94","33,63","2.371,78","143,24"
25/2/2021,"48.920,68","68,85","34,19","2.369,82","142,86"
24/2/2021,"49.606,66","68,75","34,19","2.367,88","141,70"
23/2/2021,"47.856,68","68,65","34,13","2.365,94","139,80"
22/2/2021,"49.268,42","68,37","34,13","2.364,00","138,08"
19/2/2021,"50.992,85","68,27","33,75","2.358,18","139,40"
18/2/2021,"51.826,91","68,18","34,25","2.356,25","141,64"
17/2/2021,"52.386,59","67,73","34,25","2.354,32","144,02"
12/2/2021,"51.466,21","67,64","34,00","2.344,64","146,48"
11/2/2021,"51.654,57","67,56","34,13","2.342,71","148,31"
10/2/2021,"51.940,91","67,47","34,19","2.340,78","150,40"
9/2/2021,"52.266,75","67,39","34,25","2.338,84","150,06"
8/2/2021,"52.028,63","67,13","34,13","2.336,91","150,95"
5/2/2021,"51.052,73","67,05","34,06","2.331,13","150,95"
4/2/2021,"50.682,71","66,96","34,19","2.329,19","150,93"
3/2/2021,"49.857,55","66,88","34,00","2.327,27","150,34"
2/2/2021,"49.686,83","66,79","34,19","2.325,34","149,75"
1/2/2021,"49.576,89","66,54","34,19","2.323,44","148,50"
29/1/2021,"48.257,14","66,45","34,19","2.317,72","148,60"
28/1/2021,"49.630,09","66,37","34,19","2.315,81","149,10"
27/1/2021,"49.970,41","66,29","34,06","2.313,91","148,50"
26/1/2021,"49.463,84","66,20","33,88","2.312,01","148,76"
25/1/2021,"47.469,96","65,95","33,81","2.310,12","147,82"
22/1/2021,"48.470,91","65,87","34,00","2.304,46","146,67"
21/1/2021,"48.472,59","65,79","34,00","2.302,58","147,49"
20/1/2021,"50.224,53","65,70","34,31","2.300,70","146,81"
19/1/2021,"50.516,59","65,62","34,19","2.298,83","146,91"
18/1/2021,"50.220,22","65,37","34,19","2.296,96","146,67"
15/1/2021,"50.500,83","65,30","34,56","2.291,34","147,97"
14/1/2021,"51.084,99","65,24","34,38","2.289,47","146,77"
13/1/2021,"50.961,21","65,17","34,00","2.287,60","146,16"
12/1/2021,"51.201,60","65,11","34,13","2.285,73","146,34"
11/1/2021,"50.967,48","64,91","34,31","2.283,87","146,29"
8/1/2021,"51.673,77","64,84","34,13","2.278,31","147,68"
7/1/2021,"52.500,54","64,78","33,81","2.276,47","147,91"
6/1/2021,"51.880,01","64,71","33,94","2.274,64","146,03"
5/1/2021,"51.594,73","64,64","34,31","2.272,80","145,89"
4/1/2021,"50.730,86","64,38","34,06","2.270,99","144,67"
30/12/2020,"51.226,49","64,25","34,25","2.261,91","141,89"
29/12/2020,"51.320,14","64,19","34,19","2.260,11","142,02"
28/12/2020,"50.483,84","63,93","34,13","2.258,34","141,44"
23/12/2020,"51.618,98","63,80","34,06","2.249,51","141,77"
22/12/2020,"50.406,93","63,73","34,06","2.247,74","139,39"
21/12/2020,"50.159,86","63,54","34,25","2.246,00","139,85"
18/12/2020,"52.346,77","63,47","34,31","2.240,82","141,67"
17/12/2020,"53.115,58","63,41","34,19","2.239,11","140,70"
16/12/2020,"53.206,00","63,34","34,19","2.237,39","141,42"
15/12/2020,"53.280,19","63,26","34,50","2.235,68","142,40"
14/12/2020,"53.034,13","63,03","34,06","2.233,97","141,20"
11/12/2020,"53.822,44","62,95","34,13","2.228,89","140,48"
10/12/2020,"53.690,39","62,87","34,38","2.227,20","138,30"
9/12/2020,"51.956,89","62,48","34,25","2.225,53","140,25"
4/12/2020,"54.730,38","62,41","34,06","2.217,24","142,71"
3/12/2020,"55.152,30","62,33","34,19","2.215,60","140,62"
2/12/2020,"55.268,89","62,25","34,31","2.213,96","143,81"
1/12/2020,"54.913,35","62,17","34,38","2.212,35","144,79"
30/11/2020,"54.572,54","61,94","33,75","2.210,73","146,19"
27/11/2020,"55.427,27","61,86","33,75","2.205,93","147,14"
26/11/2020,"54.465,67","61,79","34,06","2.204,34","147,35"
25/11/2020,"54.150,64","61,71","33,63","2.202,75","146,45"
24/11/2020,"54.135,77","61,40","33,88","2.201,19","147,94"
20/11/2020,"51.492,34","61,33","34,06","2.194,98","147,39"
19/11/2020,"50.950,21","61,25","33,88","2.193,42","147,29"
18/11/2020,"51.295,53","61,18","33,88","2.191,88","147,19"
17/11/2020,"51.911,54","61,10","33,94","2.190,34","145,60"
16/11/2020,"51.084,91","60,92","33,88","2.188,80","144,14"
13/11/2020,"49.895,50","60,86","33,63","2.184,18","142,35"
12/11/2020,"49.553,18","60,81","31,69","2.182,67","141,30"
11/11/2020,"51.435,00","60,75","31,56","2.181,17","142,96"
10/11/2020,"51.818,96","60,70","31,81","2.179,67","144,07"
9/11/2020,"49.650,44","60,48","31,75","2.178,16","143,61"
6/11/2020,"48.492,54","60,48",#N/A,#N/A,"144,44"
5/11/2020,"48.501,09","60,43","31,81","2.172,25","144,90"
4/11/2020,"47.028,37","60,38","31,44","2.170,77","144,06"
3/11/2020,"47.965,31","60,32","31,75","2.169,29","141,31"
2/11/2020,"47.467,65","60,16","31,75","2.167,82","140,99"
30/10/2020,"45.290,02","60,11","31,75","2.163,46","145,29"
29/10/2020,"44.914,23","60,05","31,69",#N/A,"144,11"
28/10/2020,"43.532,73","60,00","31,69","2.160,63","149,38"
27/10/2020,"46.707,91","59,95","31,56","2.159,24","154,52"
26/10/2020,"49.596,54","59,79","31,56","2.157,84","159,38"
23/10/2020,"52.512,60","59,73","31,56","2.153,72","157,88"
22/10/2020,"51.671,55","59,68","31,13","2.152,34","164,46"
21/10/2020,"50.088,78","59,63","31,75","2.150,97","167,45"
20/10/2020,"49.683,83","59,57","31,88","2.149,62","160,48"
19/10/2020,"49.162,13","59,42","31,56","2.148,27","155,14"
16/10/2020,"49.024,09","59,36","31,69","2.144,21","155,42"
15/10/2020,"48.239,27","59,31","30,00","2.142,93","155,57"
14/10/2020,"47.295,27","59,26","29,63","2.141,66","148,13"
13/10/2020,"45.994,73","59,05","29,81","2.140,39","146,40"
9/10/2020,"45.856,11","58,99","29,75","2.135,29","143,94"
8/10/2020,"45.482,18","58,94","29,56","2.134,08","140,65"
7/10/2020,"44.739,86","58,89","29,69","2.132,88","139,66"
6/10/2020,"44.438,41","58,84","29,94","2.131,69","140,20"
5/10/2020,"44.273,21","58,68","29,88","2.130,51","143,04"
2/10/2020,"43.654,37","58,63","29,69","2.126,96","139,80"
1/10/2020,"42.916,19","58,58","28,88","2.125,85","139,88"
30/9/2020,"41.260,86","58,52","29,69","2.124,74","139,10"
29/9/2020,"42.196,88","58,47","30,06","2.123,62","139,40"
28/9/2020,"42.077,91","58,32","29,81","2.122,51","137,24"
25/9/2020,"42.042,45","58,27","29,56","2.119,18","134,69"
24/9/2020,"41.875,66","58,21","29,56","2.118,07","131,63"
23/9/2020,"40.974,05","58,16","29,25","2.116,98","134,88"
22/9/2020,"40.944,50","58,11","29,75","2.115,87","134,57"
21/9/2020,"40.745,13","57,96","30,00","2.114,77","132,79"
18/9/2020,"41.484,06","57,90","29,88","2.111,42","131,14"
17/9/2020,"39.799,89","57,85","29,88","2.110,30","126,33"
16/9/2020,"42.167,86","57,80","29,88","2.109,18","127,61"
15/9/2020,"44.628,43","57,77","29,50","2.108,07","122,06"
14/9/2020,"44.614,08","57,66","29,69","2.106,97","123,21"
11/9/2020,"45.839,99","57,63","29,50","2.103,62","125,17"
10/9/2020,"46.868,47","57,59","29,69",#N/A,"123,41"
9/9/2020,"46.520,19","57,56","29,94","2.101,39","119,67"
8/9/2020,"45.481,76","57,52","29,88","2.100,29","116,41"
7/9/2020,"45.691,04","57,42","29,63","2.099,18","117,84"
4/9/2020,"45.075,06","57,38","29,81","2.095,88","120,00"
3/9/2020,"44.800,07","57,35","30,00","2.094,79","119,51"
2/9/2020,"44.877,50","57,31","29,75","2.093,69","119,72"
1/9/2020,"46.545,52","57,28","29,69","2.092,59","117,64"
31/8/2020,"46.835,42","57,17","29,63","2.091,50","121,57"
28/8/2020,"46.396,58","57,14","29,94","2.088,22","121,73"
27/8/2020,"44.254,91","57,10","29,19","2.087,14","122,29"
26/8/2020,"45.831,70","57,07","29,88","2.086,06","125,16"
25/8/2020,"46.579,29","57,03","29,56","2.084,98","127,69"
24/8/2020,"46.736,74","56,93","28,94","2.083,91","130,33"
21/8/2020,"47.411,28","56,90","29,56","2.080,67","129,52"
20/8/2020,"47.737,16","56,86","30,00","2.079,61","129,42"
19/8/2020,"47.471,60","56,83","29,81","2.078,55","127,61"
18/8/2020,"46.491,41","56,68","29,94","2.077,49","125,69"
14/8/2020,"48.547,91","56,64","29,88","2.073,20","124,22"
13/8/2020,"49.626,79","56,60","29,31","2.072,13","125,30"
12/8/2020,"48.970,53","56,56","29,75","2.071,06","125,73"
11/8/2020,"50.998,50","56,53","29,69","2.070,01","124,53"
10/8/2020,"52.180,90","56,41","30,00","2.068,95","125,84"
7/8/2020,"52.325,83","56,37","29,63","2.065,78","124,65"
6/8/2020,"51.083,76","56,33","29,81","2.064,72","121,68"
5/8/2020,"50.994,43","56,29","29,44","2.063,67","117,17"
4/8/2020,"52.186,30","56,25","29,25","2.062,63","116,28"
3/8/2020,"52.504,21","56,13","29,88","2.061,58","122,00"
31/7/2020,"49.253,62","56,09","29,19","2.058,42","122,21"
30/7/2020,"49.405,75","56,05","29,63","2.057,37","119,54"
29/7/2020,"48.884,46","56,01","29,75","2.056,32","116,72"
28/7/2020,"48.934,44","55,97","29,19","2.055,27","115,89"
27/7/2020,"49.449,86","55,85","29,38","2.054,23","115,67"
24/7/2020,"48.605,06","55,82","29,56","2.051,07","114,57"
23/7/2020,"48.408,27","55,78","29,13","2.050,03","111,78"
22/7/2020,"48.634,09","55,74","29,69","2.048,99","114,45"
21/7/2020,"46.781,26","55,70","29,50","2.047,96","116,07"
20/7/2020,"45.682,99","55,58","29,44","2.046,93","117,57"
17/7/2020,"45.475,24","55,54","29,56","2.043,84","115,39"
16/7/2020,"45.245,23","55,50","29,50","2.042,81","112,00"
15/7/2020,"45.120,59","55,48","29,63","2.041,79","112,02"
14/7/2020,"44.001,90","55,45","29,56","2.040,78","110,97"
13/7/2020,"43.237,01","55,31","29,69","2.039,79","109,73"
8/7/2020,"42.747,55","55,28","29,50","2.034,78","108,98"
7/7/2020,"42.497,60","55,26","29,75","2.033,77","108,58"
6/7/2020,"43.339,69","55,17","29,69","2.032,77","106,70"
3/7/2020,"39.758,20","55,15","29,56","2.029,76","105,79"
2/7/2020,"39.500,85","55,12","29,56","2.028,75","107,24"
1/7/2020,"39.846,74","55,09","29,75","2.027,76","105,50"
30/6/2020,"38.686,69","55,06","29,69","2.026,80","100,53"
29/6/2020,"40.308,11","54,98","29,00","2.025,83","100,39"
26/6/2020,"40.589,89","54,95","29,63","2.022,87","102,47"
25/6/2020,"41.996,64","54,93","29,81","2.021,89","104,21"
24/6/2020,"40.435,34","54,90","29,75","2.020,91","107,30"
23/6/2020,"40.803,56","54,87","29,75","2.019,93","107,67"
22/6/2020,"40.344,32","54,79","29,63","2.018,95","108,12"
19/6/2020,"40.951,45","54,76","29,81","2.016,00","109,53"
18/6/2020,"37.990,59","54,74","29,44","2.015,02","107,10"
17/6/2020,"40.471,15","54,71","29,81","2.014,03","104,96"
16/6/2020,"42.686,08","54,60","29,75","2.013,04","105,31"
12/6/2020,"43.417,15","54,58","29,19","2.009,06","106,59"
11/6/2020,"43.057,94","54,55","29,69","2.008,06","107,49"
10/6/2020,"46.476,07","54,53","29,50","2.007,06","108,07"
9/6/2020,"46.471,05","54,50","29,88","2.006,07","108,73"
8/6/2020,"48.881,18","54,42","29,56","2.005,07","110,00"
5/6/2020,"45.128,75","54,39","29,56","2.002,05","109,86"
4/6/2020,"43.676,18","54,37","29,75","2.001,07","108,27"
3/6/2020,"43.853,06","54,34","29,56","2.000,08","107,91"
2/6/2020,"42.037,55","54,32","29,00","1.999,11","106,39"
1/6/2020,"40.016,98","54,24","28,50","1.998,16","108,77"
29/5/2020,"37.824,73","54,21","26,56","1.995,26","107,71"
28/5/2020,"38.985,82","54,19","26,50","1.994,28","109,41"
27/5/2020,"40.431,57","54,16","26,44","1.993,29","105,56"
26/5/2020,"41.060,27","54,06","25,69","1.992,32","106,32"
22/5/2020,"40.962,73","54,03","26,19","1.988,48","109,53"
21/5/2020,"41.388,50","54,00","26,50","1.987,51","114,37"
20/5/2020,"39.809,16","53,98","26,50","1.986,52","114,84"
19/5/2020,"39.388,71","53,95","26,25","1.985,55","114,22"
18/5/2020,"40.286,71","53,87","26,44","1.984,63","115,54"
15/5/2020,"39.388,32","53,82","22,63","1.981,95","117,95"
14/5/2020,"39.225,67","53,76","20,75","1.981,07","119,36"
13/5/2020,"37.842,81","53,70","21,81","1.980,19","122,77"
12/5/2020,"39.133,71","53,64","20,56","1.979,27","119,31"
11/5/2020,"38.581,60","53,47","21,06","1.978,36","115,98"
8/5/2020,"36.183,90","53,41","20,63","1.975,81","112,98"
7/5/2020,"35.850,21","53,35","19,81","1.974,98","115,77"
6/5/2020,"34.158,89","53,29","20,06","1.974,17","115,88"
5/5/2020,"33.546,52","53,24","19,88",#N/A,"117,08"
4/5/2020,"32.387,28","53,01","21,06","1.972,61","110,19"
30/4/2020,"32.742,84","52,95","18,44","1.969,44","112,31"
29/4/2020,"33.185,05","52,89","18,31","1.968,65","108,87"
28/4/2020,"33.064,84","52,84","18,38","1.967,87","116,95"
27/4/2020,"29.986,23","52,66","18,31","1.967,09","112,92"
24/4/2020,"29.258,10","52,61","18,31","1.964,75","108,35"
23/4/2020,"30.378,94","52,55","15,94","1.964,08","110,05"
22/4/2020,"30.554,88","52,49","16,19","1.963,41","109,18"
21/4/2020,"30.237,08","52,44","17,44","1.962,77","108,43"
20/4/2020,"30.535,73","52,27","18,25","1.962,16","104,23"
