,expected_return_capm_annual_single_path
SPY,0.07239393437473354
EEM,0.06628627914513832
VIG,0.0658099782969006
GLD,0.03966043030146197
BTC,0.11590004195407719
LATAM,0.0312143357837946
CORP,0.046300689384727506
