base_model,mean_sharpe_oos,median_sharpe_oos,std_sharpe_oos,prob_positive_sharpe,mean_annual_return_oos,mean_annual_volatility_oos,mean_max_drawdown_oos,n_valid_scenarios,mean_weight_l1_dispersion,median_weight_l1_dispersion,robust_score_raw,alpha_center
capm_mvo,1.2876252268375714,1.1356355332965462,1.2010440131431808,0.88,0.28288705820331994,0.14160262190800413,-0.08345324507761878,250,0.3879880486430372,0.21396067314947514,0.8163688446199844,0.1791753851236119
hrp,0.5126437476571789,0.6360872376394504,0.8458221414647111,0.788,0.046515052327139345,0.025179236237175613,-0.012240682741694063,250,0.031358898770647514,0.023289031551803917,0.3916806008416377,0.08596545907373077
mpt,2.571086884947377,2.4885922520000054,0.9229546636378783,1.0,0.42385101025723754,0.13258374332291098,-0.03287404214161426,250,0.28462098130277236,0.29403292664618236,2.0014361608355187,0.43927214675243703
risk_parity,1.5433275237847492,1.5461540490336196,0.8613591709438091,0.96,0.12926373657480134,0.062416310542619466,-0.03588963391563754,250,0.10010950211394731,0.07030952083129641,1.3467699533422433,0.29558700905022034
