scenario_id,FECHA,SPY,EEM,VIG,GLD,BTC,LATAM,CORP
1,2020-02-29,344.1856740781576,43.325927465927464,133.0954255751565,148.84680957773824,9628.818425596466,1044.616310459063,24722.474549018083
1,2020-03-31,329.9772133406836,42.88819357819358,131.1283976912446,142.6378126516745,8827.708581674182,1045.2692513014672,24935.111128929784
1,2020-04-30,321.7497066029647,43.491293601293606,128.1523762295748,141.8969206708731,11245.516051854329,1045.862833885471,25332.418920475775
1,2020-05-31,356.7486334680878,47.40171633171634,141.0144963824079,134.22224613061533,15977.353195626869,1048.5933137718887,26126.701653118278
1,2020-06-30,365.0842753640851,47.86524883135127,145.69541385545273,137.0305155928052,14612.605249090406,1070.7411742722277,26186.13263677228
1,2020-07-31,371.6128899959152,50.6133343649013,147.1591293192461,144.00379229533155,15785.587716362392,1080.0170892028443,26227.061017729106
1,2020-08-31,368.2967682781602,49.05718954469827,144.2837085858043,150.19501927421007,17308.19379213813,1064.434289766719,26267.19590026782
1,2020-09-30,390.25959785805685,47.74384746239925,152.0778076798106,145.5027209323232,24119.5792812378,1066.555025784653,26874.433565753403
1,2020-10-31,400.7405664464506,48.7713334192658,157.04015865297094,155.37596962070577,26280.485630573436,1070.7551954323583,27631.5880400665
1,2020-11-30,395.6532348063407,49.33074244022649,157.7468471327168,158.20634097324879,21674.01702884805,1087.397903040854,27937.152876579385
1,2020-12-31,372.4872311729088,49.890151461187166,150.64889910537948,173.15142282839633,21213.116397680562,1092.6945771541107,28513.16673772151
1,2021-01-31,369.2577078149857,49.95865052497827,148.35022009433806,182.5439290365168,24342.758774704653,1106.0198941337771,28935.943666388343
1,2021-02-28,392.46366431470125,51.96795639618397,153.7086272484549,182.44177125946112,26920.781250481225,1107.6739432428294,29916.344346956703
1,2021-03-31,411.41464055521504,55.07324728804734,158.94278148305594,183.18091282286406,27695.16884642084,1114.2529700361374,30151.82368997484
1,2021-04-30,420.8901286754719,55.438575628266555,160.02222872134905,182.0571772752514,29981.812804145316,1115.2472579837136,33937.14900359793
1,2021-05-31,429.5266066037735,56.922722010407135,163.79641115164,191.13720087120154,27745.02223559044,1126.4167356751775,33456.466695788935
1,2021-06-30,388.2238811345103,50.3541603784682,149.6567493493927,185.6168196066349,26685.125012154727,1118.1183998997317,35417.26149304168
1,2021-07-31,419.776989565371,49.35804883428405,164.56041793656956,182.30459084789493,28032.12066305477,1123.20790417174,36167.4309465684
1,2021-08-31,443.1130294555047,57.05264960312681,175.66619772329946,197.7856600463535,23497.177149929008,1128.1592799353223,37785.8742832208
1,2021-09-30,415.66845529500756,54.71395293417272,168.136855495008,203.58206037414843,22775.357935005526,1131.7399958845224,40030.5916928995
1,2021-10-31,441.8087328617385,59.708947054284536,173.01985538129702,215.30687014693453,31528.157736857247,1138.8908025130434,42160.12968052355
1,2021-11-30,430.70047353816295,55.19035410747818,168.28079880231357,203.75007197785266,31797.85084791422,1135.4057139927538,44296.82188434438
1,2021-12-31,444.9716521016215,56.96603120798036,170.52852890870057,219.87918593345606,39007.82801750294,1143.884679356141,47248.71587242505
1,2022-01-31,452.08006853764726,56.489630034674896,174.47036101645315,221.77531688954633,40325.86517827931,1148.6979266112971,51548.53496258367
1,2022-02-28,454.16694308767313,55.13260851071387,169.687014189068,218.79911133821471,37251.91046171123,1149.4310702329435,56714.84164328542
1,2022-03-31,481.8071617372353,57.110395199891094,179.85162619726145,213.9387756596289,41749.282119766656,1150.0792116955586,61168.8805190645
1,2022-04-30,489.50402496731294,56.63278672508207,184.00896526136282,215.78367941217888,43159.95038986101,1154.9185243542624,66735.48937441762
1,2022-05-31,491.7636545394459,55.272326221080604,178.96410437458815,212.88788111703707,39869.9594006728,1155.6556382029391,73423.86577241244
1,2022-06-30,521.6919774661853,57.255125040742314,189.68443375898437,208.15885567537407,44683.4044882934,1156.3072895764074,79190.12982402029
1,2022-07-31,538.768657201419,60.71416823708645,194.14539870978973,212.92291093512347,42942.421211101864,1156.8948440934685,85173.78421397654
1,2022-08-31,530.012592609404,56.690678661422545,190.46685431318318,210.20226173041365,38246.790338377985,1160.6979242402645,109716.76089131266
1,2022-09-30,503.097109112175,54.92497460303768,181.4515010618173,200.19541036373408,39555.43529171602,1163.2831641153336,105451.53809422141
1,2022-10-31,492.17556618019927,53.11585159239744,178.78893559379733,214.95464038413422,50946.31875866435,1167.791309682603,121997.31175325954
1,2022-11-30,537.1327795424269,57.255125040742314,192.13679669005535,220.39593879355385,55504.521768335726,1175.0449372659584,154487.59538841646
1,2022-12-31,554.6682970096739,60.70946667053468,196.03896782838325,235.85420077529415,83051.6045506235,1178.2931533426702,157914.95969939537
1,2023-01-31,549.015985541805,62.63637832796988,190.3176350561729,228.25069295707289,99219.5587807318,1178.8141982423476,162208.05573413122
1,2023-02-28,564.2816771440023,63.1298557036545,193.31716874257444,213.96932175067474,130814.63781327638,1176.718932581943,162723.76361202617
1,2023-03-31,587.9739118269072,62.671626711947354,204.24602527589863,211.52297575698617,168874.738919119,1175.610326412417,160499.1142337199
1,2023-04-30,619.0838780949421,63.42359223680011,212.48085618347324,219.0603661159185,162728.81913283796,1178.1157763555464,168542.9999093335
1,2023-05-31,623.1487950035932,64.46929429479849,216.21638656144555,235.8806477590097,100872.98466015284,1176.37526466939,172857.89901236218
1,2023-06-30,635.0468364661416,64.79827921192157,214.9526941287486,219.02069564034517,99058.90491412395,1175.787703399541,175293.79794238447
1,2023-07-31,650.549895479063,60.627220441253904,221.79885203335957,224.56133872875333,116542.85175524406,1177.561473270783,181289.42693594654
1,2023-08-31,669.9101749162522,61.578926808645676,225.50660895127257,224.38943333460224,134642.5763603511,1181.1644433217434,183470.27730774257
1,2023-09-30,636.6490664885297,59.193786159503325,213.3001732552218,217.15618328839872,124411.08181195914,1182.1400167509266,189104.00780485861
1,2023-10-31,681.3186460941821,59.82825707109784,228.089540736785,220.3694918098383,178714.63787751936,1179.7343413630547,195318.82470089637
1,2023-11-30,675.8443601843563,57.384369115326365,224.9511397500871,218.84879024619403,163657.48383546353,1179.124607969815,196367.90120500783
1,2023-12-31,704.6251587346603,57.39611857665219,238.50458825901262,226.0688168005398,132709.57437254008,1181.142271198353,198538.85822635415
1,2024-01-31,723.5488551557693,58.6313291629503,246.28707469610137,241.40896738094233,144599.2080405008,1185.7936935789835,204132.44904430755
1,2024-02-29,761.8321531463743,59.33481717690396,256.2169247977323,250.01131243015067,139336.75647749752,1188.3208462208006,214363.1477658239
1,2024-03-31,766.8343580340356,60.31310519630827,260.7213593295008,269.208124539963,86372.62025035959,1186.5652578811312,219851.09656532746
1,2024-04-30,781.4758482526646,60.62088120241299,259.1975543391999,249.96603692989166,84819.31218144986,1185.972607040351,222949.21967076565
1,2024-05-31,800.5536004702051,56.718721125013786,267.45289346247824,256.2895151327308,99789.96370002319,1187.7617416540268,230574.82206651862
1,2024-06-30,824.3779704643586,57.60907314267389,271.92383777467967,256.0933212982752,115287.87570510485,1191.3959213380558,233348.5590402046
1,2024-07-31,783.447520252181,55.377697098414636,257.2048862749603,247.8380884177191,106527.14560279658,1192.3799453755773,240513.87711141352
1,2024-08-31,838.4170053498023,55.971265110188035,275.03842819441553,251.5054039386974,153024.6339253319,1189.9534315557798,248418.25589510397
1,2024-09-30,858.8848316029104,52.36840035694838,283.79829285620553,257.8678240467886,180033.5592435735,1191.7485715618982,256914.98376030975
1,2024-10-31,884.4451313735383,53.19046245557489,288.54247919433516,257.670421990929,207993.72833939517,1195.3949496993264,260005.58395318038
1,2024-11-30,840.5323405032336,51.130232751609675,272.92397810363866,249.36435087129684,192188.27693516234,1196.3822767026916,267989.4460219149
1,2024-12-31,899.507101123433,51.678274150694016,291.8474179916839,253.05425083851915,276075.55385367863,1193.9476180693935,276796.79683605244
1,2025-01-31,892.2797060158763,49.567299872739504,287.83173966802366,251.3080018828378,252815.49977534608,1193.33053869229,278283.4994947373
1,2025-02-28,930.2773930312155,49.577448787537364,305.1737841100257,259.5988882289423,205007.65735649716,1195.37251044925,281360.079289325
1,2025-03-31,881.2133693335738,49.56729987273951,288.9866913982799,255.24085822650278,170071.8922908914,1192.5563845646518,288061.9787556469
1,2025-04-30,855.2025815210116,47.42587885039143,280.88426079832817,270.86599018646893,184306.39107765455,1189.482207304174,289261.5955895002
1,2025-05-31,884.6018228663847,45.822350312329824,288.133803966706,274.31293377724865,202503.02660541688,1189.2690344284472,298408.8401176156
1,2025-06-30,862.5455499978779,46.4667108746715,281.5944700044584,272.88809243197386,257966.267822631,1189.9443909317147,303163.5876153068
1,2025-07-31,956.3705574576825,50.64466161759656,309.856933909789,258.12859458363835,366512.14177763014,1193.0510308467442,312669.0992509981
1,2025-08-31,987.5927305481918,53.700177832571605,316.1499230994861,276.23337211218427,548413.3633105708,1196.349021771032,319605.77859554015
1,2025-09-30,977.5287305926214,55.4046154490883,306.92319161850656,267.3281137042169,655174.9629829819,1196.8780510319248,328294.6216499226
1,2025-10-31,1004.709454882075,55.84111776551329,311.76050715222397,250.60171530316515,863806.2549376055,1194.7506780466333,329338.3683485015
1,2025-11-30,1046.8937276617223,55.43579418597579,329.3853558792407,247.7365452066887,1115127.9261844596,1193.6250838745214,324835.8766402484
1,2025-12-31,1033.603594267459,56.071644821535905,330.86760626916316,252.24938218040273,919667.239076762,1212.177553523822,328428.08499957866
2,2020-02-29,305.75607272566214,40.47895058195001,118.58385368557178,144.51630974129296,8643.45714366095,1046.0632746726735,24813.037656321267
2,2020-03-31,327.20901430596155,40.912825796603705,126.80597635322373,146.6547498379398,12416.195494336882,1043.9345178093765,25628.506812467647
2,2020-04-30,324.57994242182656,39.241602747567256,125.06118788102717,145.6427308621604,11370.10005193313,1043.3949711389553,25766.160028298706
2,2020-05-31,338.4021631676854,39.24963747376455,132.59620358396455,150.44762095586069,9219.994729860731,1045.1803801210758,26051.01934432393
2,2020-06-30,320.5543987509966,39.241602747567256,125.56300757435802,147.92197359891568,7648.796980752218,1042.7180853160637,26671.545586290664
2,2020-07-31,311.0925899105324,37.546275519938945,122.04254941806762,156.97734339088927,8288.977964665139,1040.0301619034212,26782.617638244246
2,2020-08-31,321.7869988484365,36.276788780767035,125.19243303159061,158.97498084742767,9107.351706556237,1039.8437730536396,27629.557420003955
2,2020-09-30,293.5440694481353,34.05116962411754,118.78458156290414,155.683719134893,7673.113721522457,1035.1153822328597,29957.45022563644
2,2020-10-31,294.20668106121,34.260072505247095,118.69965823018659,150.60602392598267,6325.592179147062,1037.3814782486277,30192.683316806608
