,expected_return_historical_annual_robust
SPY,0.13880413269023653
EEM,0.050953222381288896
VIG,0.10536387795771837
GLD,0.18440368002179294
BTC,0.5950298091329416
LATAM,0.030984491401229976
CORP,0.563252490507751
