scenario_id,base_model,w_SPY,w_EEM,w_VIG,w_GLD,w_BTC,w_LATAM,w_CORP
1,mpt,0.27014173565208605,6.997440821221446e-16,4.3834293833588944e-16,0.15,0.04999999999999909,0.5298582643479136,0.0
1,capm_mvo,0.3159282462473252,0.19463932002003947,0.08114556323391364,0.0006234381708317904,0.0,0.4076634323278899,1.7889335846010823e-18
1,risk_parity,0.06543052199380704,0.04468462992292857,0.06600390864920885,0.11965772252796336,0.023716738941173786,0.6088440205564771,0.0716624574084413
1,hrp,0.004827921539040003,0.006789918892850128,0.005334176984838784,0.015321158658898394,0.0007876366193879083,0.962278340002653,0.004660847302331739
2,mpt,4.846542561198389e-13,0.0,0.0,0.14999999999995778,0.04999999999994872,0.7187291027175423,0.08127089728206657
2,capm_mvo,2.9504872998643996e-18,0.0,0.0,1.234576831194928e-16,9.167800260063122e-17,0.0,0.9999999999999998
2,risk_parity,0.03469942320282423,0.04296196986151227,0.04292385753885435,0.07208194899558283,0.012021720658916863,0.7414929882809149,0.05381809146139466
2,hrp,0.0012871002343766587,0.0026518459581753415,0.0017689520488504075,0.008808669210149165,0.00016325681253945897,0.9809420511411593,0.004378124594749548
3,mpt,0.06948108629311575,1.205798788162688e-16,3.284461972298412e-14,0.14999999999999994,0.04999999999999993,0.71683062957819,0.013688284128661476
3,capm_mvo,0.18280354903397006,0.22040129069806572,0.3387655427726676,1.864827736675068e-17,0.0,0.19039519206154093,0.06763442543375575
3,risk_parity,0.06883300733899443,0.059400912578763045,0.08053030572513149,0.09350770348922204,0.02666373607398136,0.6002031922735891,0.07086114252031843
3,hrp,0.010626630369271728,0.01683092705778621,0.013996725620303454,0.028128945630374255,0.0012923555793957042,0.9170566767278198,0.012067739015048878
4,mpt,0.16562941627461542,7.030780038025376e-16,5.093581806336901e-16,0.1238491341950615,0.049999999999999906,0.6605214495303217,3.6041590718849386e-16
4,capm_mvo,0.3003024670880613,0.19249586284882583,0.12357010908040493,1.6588293239028218e-17,0.0,0.383631560982708,0.0
4,risk_parity,0.06910030074752022,0.05629674372741528,0.08119480262409122,0.08847549197134094,0.019914163500062983,0.6257864213222837,0.0592320761072857
4,hrp,0.010127598892197791,0.013320168531877343,0.011267529880264844,0.011261146741647536,0.0006480498140089247,0.9448431901933595,0.008532315946644031
5,mpt,0.0,0.0,0.0,0.14999999998897304,0.027570985796785456,0.8224290142142414,0.0
5,capm_mvo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,risk_parity,0.06630232870912528,0.05407485011075039,0.06900646743989097,0.11380852465341482,0.024622258250858703,0.5748513209637517,0.09733424987220816
5,hrp,0.006082949634182597,0.009101248212181397,0.007854390546157235,0.02557151116897644,0.0009572498415420357,0.9352364081826878,0.01519624241427248
6,mpt,2.0456220474162053e-13,2.196316993957358e-13,2.0826815378624462e-13,0.14999999999983357,0.04999999999991648,0.7916445152253188,0.008355484774298809
6,capm_mvo,0.3810070240350081,0.20603629794561112,0.0715606653372556,0.0,1.3552527156068805e-18,0.3413960126821251,4.2825985813177425e-18
6,risk_parity,0.06176772908780428,0.05798815289190596,0.06122332367933701,0.12830167229924935,0.020905159564602226,0.5849505048638659,0.08486345761323531
6,hrp,0.005635146394998076,0.009903415578592995,0.006661160666033624,0.025835861992147678,0.0006327786146375872,0.9366057856117035,0.014725851141886558
7,mpt,0.41714741292480384,0.0,0.4099241938085167,0.14999999999999997,0.022928393266679427,0.0,0.0
7,capm_mvo,0.4269359873542012,0.22065961958553443,0.07125098115948227,4.174178364069192e-18,1.3552527156068805e-19,0.2487837322673803,0.03236967963340191
7,risk_parity,0.03086146937430254,0.03687152637633569,0.035235512937073055,0.06280423277487415,0.012506182599933429,0.7760376633583332,0.045683412579147924
7,hrp,0.0010671559517683906,0.0018806207685595963,0.001311439269958457,0.005857616959745999,0.00012943135001597657,0.9865449319617746,0.0032088037381770326
8,mpt,0.20161943558910425,0.0,0.6483805644108956,0.1500000000000001,0.0,0.0,0.0
8,capm_mvo,0.0,0.0,1.759233451990073e-16,1.479221271135618e-15,9.201793560670914e-16,0.0,0.9999999999999973
8,risk_parity,0.028075957211443948,0.03719208413032654,0.032436691946200094,0.06228863168092592,0.0112740737620563,0.7691162961981838,0.05961626507086348
8,hrp,0.0007125819385951523,0.0014617129788977448,0.0008957412375228448,0.004293074041024319,8.391491817864115e-05,0.9896957190780329,0.0028572558077483716
9,mpt,0.20699555382827484,0.0,0.0,0.15000000000000055,0.05000000000000018,0.4669427861254292,0.12606166004629527
9,capm_mvo,0.4348694927846247,0.09666340103316623,0.0828274345143113,0.012299642522786538,0.0,0.35194848272225915,0.02139154642285204
9,risk_parity,0.08238343234840186,0.06985608412350039,0.09443231784633077,0.10010682437100804,0.024723847742286555,0.5502196863227684,0.07827780724570392
9,hrp,0.016567886257131473,0.021417862754578403,0.019022254377944227,0.031087700577834956,0.0011930947806912525,0.8934691347213031,0.01724206653051662
10,mpt,0.0,3.4115928089701525e-16,0.03597061948496344,0.07295520855600407,0.04999999999999987,0.8410741719590322,0.0
10,capm_mvo,0.3936451271520079,0.2062167539847731,0.0032604893609244684,0.01022057125017595,0.0004029341102243496,0.3862541241418943,0.0
10,risk_parity,0.03925503011888128,0.04308788627795578,0.054323802785837316,0.07547444430612048,0.014719764681837862,0.6968096387511388,0.07632943307822847
10,hrp,0.004018301590341888,0.006261043735698756,0.00513285819056176,0.010523018407033671,0.0004755539983584563,0.96488272616605,0.008706497911955548
11,mpt,1.087853766315233e-12,1.6995699120279648e-12,1.1060894842199432e-12,0.14999999999972863,0.04361571074558554,0.8063842892486378,2.1545630435414313e-12
11,capm_mvo,0.23595838025820487,0.2261947361950944,0.2057457354158264,0.0,1.1492543028346347e-17,0.30750447765641137,0.024596670474462925
11,risk_parity,0.056298673737800585,0.05788863698181712,0.06430792295737933,0.14418510129128848,0.02215826294134501,0.5771341744622226,0.07802722762814675
11,hrp,0.00706001908052314,0.010632705172276824,0.009473206411741618,0.026311924599615462,0.0009009699546366311,0.9364292159792957,0.009191958801910642
12,mpt,0.09383689170653163,5.931074262101685e-16,1.389869099575966e-15,0.1499999999999959,0.0,0.6861453089938953,0.07001779929957529
12,capm_mvo,0.0,9.015693503289984e-18,3.3424643664738704e-17,0.1345989964201847,0.0,0.0016737192200861565,0.8637272843597291
12,risk_parity,0.08480184166582085,0.11077714313653506,0.07364344894558705,0.1496340336812673,0.02085801241735701,0.4972464168928053,0.06303910326062749
12,hrp,0.011079911291745782,0.031267939055505956,0.013282761459234672,0.03639335104942246,0.0008139764070827124,0.8918510357251841,0.015311025011824334
13,mpt,0.0,0.0,0.0,0.0,0.049999980119948474,0.9500000198800516,0.0
13,capm_mvo,4.732765214850973e-13,4.605704750493994e-13,4.843610899878787e-13,0.0,2.602294555604028e-13,0.0,0.9999999999983216
13,risk_parity,0.045052129841796795,0.04540099950932166,0.056059945846118855,0.12383705433994402,0.012065646045905844,0.6447499788647684,0.07283424555214436
13,hrp,0.0012411912656002545,0.002732071150637408,0.001711582840313813,0.007387794255615769,0.00010423302203729068,0.9826396476753747,0.004183479790420812
14,mpt,1.1738415448016808e-10,9.021820616979746e-12,2.2904613102050907e-11,6.175165760692794e-11,0.050000000000102685,0.9499999997804869,8.348207541936595e-12
14,capm_mvo,6.214381917358651e-15,5.837936135678067e-15,6.972922583736542e-15,0.0,0.0,1.6195378371719032e-14,0.9999999999999648
14,risk_parity,0.03838804912880529,0.040450372754350414,0.042188686808230076,0.060798549454612695,0.011159801121056672,0.7396257355450999,0.06738880518784497
14,hrp,0.0017228584231736125,0.0032609549404526927,0.002029162697344164,0.0066939140873396984,0.0001504626971491758,0.9797945972013066,0.0063480499532341025
15,mpt,0.031079935704562217,0.0,2.3383801405624195e-15,0.14999999999999972,0.04999999999999983,0.7357798050770825,0.033140259218353424
15,capm_mvo,0.41150777379651887,0.19415865742185742,0.08943473177220494,0.0,0.0,0.2903515226783111,0.014547314331107787
15,risk_parity,0.06147256855731551,0.05777830554903831,0.06621738592938876,0.12832497624921235,0.01926725395978378,0.588341362583688,0.07859814717157329
15,hrp,0.008811045668250394,0.01343574343642141,0.011245743424490506,0.02285724208765008,0.0007977014315915402,0.9326600654694986,0.010192458482097462
16,mpt,5.856426454897701e-14,1.2022327577909664e-13,2.1460611066004276e-13,0.1499999999999792,0.04999999999993247,0.7999999999995129,1.8213208718975693e-13
16,capm_mvo,0.3690943735418329,0.22211157801914863,0.1804565289597267,1.1872013788716274e-17,5.366800753803247e-18,0.19971215473421078,0.028625364745081025
16,risk_parity,0.0628925634289662,0.05998613507332657,0.06342719204103409,0.12317713147630781,0.02139471864006156,0.5891964517879237,0.07992580755238017
16,hrp,0.005669751296245898,0.009315915041843734,0.007624203965778819,0.021218037758669168,0.0006403509727737719,0.9415254681521313,0.014006272812557303
17,mpt,0.03299393591182452,0.0,0.0,0.1499999999856506,0.0,0.8170060641025247,0.0
17,capm_mvo,0.3545751451538872,0.2508458534974574,0.28905654596748864,0.0,0.0,0.0724917135921054,0.033030741789061326
17,risk_parity,0.08223402280170733,0.08520374563824078,0.10213851245967825,0.1423172475872902,0.027373814649062942,0.48519860434107737,0.07553405252294298
17,hrp,0.009719325413907468,0.01957574967998817,0.014549701035119104,0.02755715374506665,0.0010898138917796209,0.9130379550900084,0.014470301144130603
18,mpt,0.13203715816907827,4.778415076817175e-14,1.7306457916061204e-13,0.14999999999998992,0.050000000000000905,0.6679628418306643,4.579323031883658e-14
18,capm_mvo,0.28328437868903567,0.22122773135014948,0.2976949327538475,0.0,1.8510316875466632e-18,0.18865743252573464,0.00913552468123278
18,risk_parity,0.08086056589060786,0.07878802095107064,0.09879278117232193,0.14518462302123894,0.028915489933851228,0.5016220547488843,0.06583646428202519
18,hrp,0.011073833750424367,0.020792928175991224,0.01376705491792024,0.027206316548106936,0.0011880987171098284,0.9128062724789436,0.013165495411503804
19,mpt,0.2584505901138118,1.8172827582118138e-15,1.4030367218422844e-14,0.14999999999999766,0.002679961286717069,0.5888694485994574,1.9741989720081152e-16
19,capm_mvo,0.2597362235182995,0.15808876418954132,0.21881044057320673,2.8324781756183807e-18,0.0,0.31892292329608857,0.04444164842286403
19,risk_parity,0.05841922853420459,0.05439346379547924,0.0726588488112021,0.1480627865179997,0.024434350062181837,0.5679409310284219,0.07409039125051062
19,hrp,0.009607005212924825,0.013791388732281957,0.01306133457684076,0.027599067635818948,0.0009606367334746319,0.9266225812634885,0.008357985845170347
20,mpt,0.0,0.0,0.0,0.1499999999999809,0.045701706446563115,0.7714586884494056,0.03283960510405036
20,capm_mvo,0.3324649404591112,0.28224774087850985,0.27572995831537106,0.0,0.0,0.06951670770086618,0.040040652646141796
20,risk_parity,0.06944378279241153,0.07052125681653584,0.07470633731188438,0.14156099307507952,0.030770233940288196,0.5544466609524953,0.05855073511130516
20,hrp,0.014015838563630088,0.01713851396754351,0.017255402323374375,0.029889934933289553,0.002228191798897493,0.9118396301942346,0.007632488219030343
21,mpt,0.0841055647207037,0.0,8.240547134003948e-16,0.15,0.049999999999999885,0.7057199931915558,0.010174442087739828
21,capm_mvo,0.2523299365444568,0.13591740533284002,0.09900250431558534,9.974659986866641e-18,0.0,0.49442168989856383,0.01832846390855409
21,risk_parity,0.054827817964826095,0.042189464630707746,0.054435085214335405,0.09851427036659864,0.019891679429688974,0.6790386588684966,0.05110302352534661
21,hrp,0.0032519271676515727,0.004434042345425811,0.004252292337969198,0.015237571997606237,0.0003888602582908135,0.9680329580523804,0.0044023478406759724
22,mpt,0.8499999999999858,0.0,0.0,0.1499999999999996,0.0,1.4602902220772724e-14,0.0
22,capm_mvo,9.714451469089028e-17,0.0,0.0,0.0,0.0,5.551115125193731e-17,0.9999999999999999
22,risk_parity,0.037288651691815125,0.02923652168015193,0.051418220498219334,0.07866338666410404,0.01618917863345967,0.6932619154286092,0.09394212540364082
22,hrp,0.00148778460137101,0.0023829375627727636,0.0019710907750534684,0.008189444571198667,0.0002114303371019493,0.9790522879586644,0.006705024193837819
23,mpt,0.28478487770998484,2.117067372103825e-15,1.6710894820692917e-13,0.1499999999999988,0.050000000000000114,0.5152151222898441,2.848307527336675e-15
23,capm_mvo,0.2857810084375886,0.1399630238666853,0.021619229460505224,6.505213034913027e-18,1.3010426069826055e-18,0.5404367700792349,0.012199968155986174
23,risk_parity,0.03719872463796066,0.04457093069990742,0.042409692537996764,0.0729710377667059,0.012514167182205951,0.7394930278376348,0.05084241933758856
23,hrp,0.001828537242657599,0.0033577387250906506,0.0023151121741459644,0.008365248604626889,0.00017669009879223377,0.9787129396695041,0.00524373348518254
24,mpt,0.028325587540545497,8.463446518254774e-13,7.436106193747272e-13,0.1499999999998559,0.006353729505241646,0.7948054801867723,0.02051520276599475
24,capm_mvo,0.3049049304543116,0.14329169603250771,0.1509248026145821,2.9273458657108612e-18,2.059984127722458e-18,0.3617240109161292,0.03915455998246933
24,risk_parity,0.072129429840113,0.07179270987732354,0.08026679764377655,0.14437821998440578,0.023877753896648986,0.5414938626946988,0.06606122606303332
24,hrp,0.00937036417062935,0.017590323160789123,0.011921996442101044,0.03566400348736531,0.0010350910579061503,0.9134559479731044,0.010962273708104703
25,mpt,0.0,0.0,0.0,2.036787401555288e-12,0.04999999990371835,0.9500000000942449,0.0
25,capm_mvo,8.526908296601699e-14,7.909872839529777e-14,8.763406976451876e-14,0.0,0.0,1.7348067427023524e-12,0.9999999999980131
25,risk_parity,0.03151643924789737,0.032671649942096474,0.03405605350230895,0.05810468177786951,0.010605154878620598,0.7751342445730895,0.057911776078117566
25,hrp,0.0016356960885304513,0.0022351742412165653,0.002014079835806517,0.004590527402918102,0.0001577787624219153,0.986091798630153,0.0032749450389535657
26,mpt,0.012222140366869038,5.1616366278265604e-12,5.418410159571427e-12,0.15000000000000277,2.7480541510438423e-12,0.7853949860428124,0.052382873576987676
26,capm_mvo,0.30081508127199497,0.31212838352121003,0.26631167404945183,0.031575283683987876,0.0,0.07731912201052131,0.01185045546283403
26,risk_parity,0.07601192931610984,0.07210280352728152,0.08202337678094278,0.13671402300555158,0.036304078104212496,0.5265028170799528,0.07034097218594892
26,hrp,0.009577903262020715,0.015829424452336382,0.012194195855965663,0.03167403687740082,0.00242756307955058,0.9145358691807358,0.01376100729199011
27,mpt,0.0,0.0,0.10038962148797344,0.14999999999999694,0.04999999999999898,0.5896621087839671,0.10994826972806367
27,capm_mvo,0.44970445119903807,0.22815116893830562,0.08663706010569704,0.04378060055018157,0.0,0.19172671920677778,0.0
27,risk_parity,0.05914713408064806,0.05576190040204182,0.06596126436980966,0.1416701445515471,0.022170378074911037,0.5791978865141444,0.07609129200689801
27,hrp,0.004116760174848763,0.004906115800644436,0.005578398810696212,0.01031348031640137,0.00095661431456601,0.9642603539499871,0.009868276632856065
28,mpt,0.0423670855993124,7.0000158013811e-16,1.7402800121107956e-16,0.14999999999999944,0.049999999999999746,0.5881746763908322,0.16945823800985543
28,capm_mvo,0.5548046427200823,0.23757894181753184,0.04302193515982528,0.02278322400208246,0.005003170372697942,0.12452517964514512,0.012282906282635129
28,risk_parity,0.06869942704062329,0.060015649459125596,0.07424872083767514,0.09680047881257393,0.026767651666690175,0.6064571768966941,0.06701089528661772
28,hrp,0.007374719227540985,0.00713323475250045,0.009020780961119627,0.010832584724333653,0.0016474928560364264,0.9555283927538016,0.008462794724667254
29,mpt,0.012648260840192592,0.0,3.5373451130055164e-16,0.14999999999999988,0.04999999999999959,0.7270818191126116,0.06026992004719591
29,capm_mvo,0.27022241957283977,0.19341972289142556,0.15948557853622652,1.0625181290357943e-17,8.673617379884035e-19,0.37124235915761383,0.005629919841894277
29,risk_parity,0.0679326200073046,0.06100845203045322,0.07494611144936628,0.1416671704522539,0.02401512853444647,0.5343485174913167,0.09608200003485881
29,hrp,0.009599896174812314,0.012511952157473307,0.011664539084341317,0.03901043287963516,0.001064146693348849,0.9051514098511224,0.020997623159266707
30,mpt,1.996757424903689e-12,2.260098294977936e-12,2.0214685433227326e-12,0.14999999999958277,0.025765632119416057,0.8242343678743398,3.8331816214271793e-13
30,capm_mvo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,risk_parity,0.06538727375591931,0.06199653396761613,0.06971170432986107,0.149218254769661,0.022118053151806743,0.5257024422819316,0.10586573774320422
30,hrp,0.004841455372125502,0.008588916955626743,0.006592430105517043,0.029514923527173633,0.0006681207585904351,0.9319316220880182,0.01786253119294849
31,mpt,0.05993565508372487,3.2339582400897575e-15,0.0,0.14999999999999955,0.04999999999999849,0.6996766323468874,0.04038771256938657
31,capm_mvo,0.31163700105244974,0.16641880418354918,0.20583750978670548,8.565197162635485e-18,0.0,0.2844321031256554,0.03167458185164021
31,risk_parity,0.07198321673728425,0.06269184669997446,0.07709670389383558,0.09300528123541486,0.027956219621577967,0.5506175672704768,0.11664916454143598
31,hrp,0.01391827955127579,0.019418450326405268,0.018085688761599786,0.038793159972580614,0.0017398886221450557,0.8780154267281162,0.030029106037877375
32,mpt,0.011789548754138996,1.682625393184534e-14,7.044495195507318e-16,0.15000000000000005,0.02385594707824143,0.7521211210555034,0.0622333831120985
32,capm_mvo,0.4554116993296512,0.23983721763631252,0.08044872207012702,0.035774277163750014,0.0,0.17626254669632282,0.012265537103836547
32,risk_parity,0.0688751388440097,0.05004094285271704,0.07401908960903555,0.13016604432954693,0.024831369179317882,0.5759460818370414,0.07612133334833152
32,hrp,0.008625836872338406,0.0112550340487585,0.010635091865327342,0.02003606408411449,0.001153077041733711,0.9387825128862507,0.009512383201476862
33,mpt,0.8499999999998782,0.0,0.0,0.14999999999999267,0.0,1.291328155517072e-13,0.0
33,capm_mvo,0.0,0.0,3.688283559193344e-17,0.0,3.642919299551295e-17,2.505750595417339e-16,0.9999999999999998
33,risk_parity,0.05580928217260289,0.05468432321718725,0.0659994122841405,0.12276093631155824,0.019500986094280366,0.5983368733805657,0.08290818653966492
33,hrp,0.003523157338578896,0.0064412608956794576,0.004794675076502654,0.01626703188680104,0.0004179900094921292,0.9601446020708625,0.00841128272208335
34,mpt,0.0,3.4662506106503115e-13,3.403136029419685e-13,0.14999999999989683,0.023293422307096495,0.8096889623332676,0.017017615359052076
34,capm_mvo,0.1616250059798527,0.25850046290551637,0.363917176822158,0.005160977201952263,0.004569649841520135,0.16362418728400735,0.04260253996499325
34,risk_parity,0.06675552183594838,0.05988645633483013,0.07288551108311463,0.13303943982487074,0.02658092639215414,0.5503810823575511,0.09047106217153089
34,hrp,0.008494845195978514,0.013264886158416174,0.01083445511299136,0.03688389159416639,0.0014359307481385756,0.9065203378037879,0.02256565338652108
35,mpt,0.0,0.0,0.9500000000000001,5.204170427930389e-17,0.04999999999999969,2.7061686225238023e-16,0.0
35,capm_mvo,1.4760960129298527e-14,1.8628531920832783e-14,1.3075403719896639e-14,0.0,8.234431822745879e-15,0.0,0.9999999999999454
35,risk_parity,0.05145079882320368,0.08040338816217886,0.04819262425554385,0.14870303706716134,0.013690403814944772,0.5874424013867069,0.07011734649026063
35,hrp,0.0006124194569632297,0.0020233335652498964,0.0007828937988608501,0.004262253437462177,5.2490425586617645e-05,0.9900838004705014,0.0021828088453758106
36,mpt,0.03703608467950542,0.0,0.0,0.14999999999664532,0.0,0.8129639153238493,0.0
36,capm_mvo,0.3229631455563171,0.27728998309075553,0.2576954210820871,0.014998617918629784,0.0029846467202895577,0.09968556434303982,0.024382621288881322
36,risk_parity,0.05387955110914873,0.05534500528718686,0.05740033717997883,0.10067305142787897,0.01918506623470056,0.6171870471010701,0.09632994166003599
36,hrp,0.004653657608270289,0.008699079439434943,0.006525990462504527,0.026693545568177914,0.0007423982206117732,0.9372804738428261,0.01540485485817447
37,mpt,0.23300463409785496,0.0,0.05816965339865881,0.15000000000000002,0.012393534228216353,0.5432698120341963,0.003162366241073604
37,capm_mvo,0.4178300103392739,0.23701389011592883,0.08394111258267616,0.007236454170343281,4.336808689942018e-19,0.25397853279177796,0.0
37,risk_parity,0.10827253787236547,0.14331873356153407,0.12154044631245914,0.14999999999999997,0.03315920383849819,0.21047805446565138,0.23323102394949163
37,hrp,0.008561191795190267,0.011849348216027218,0.008847105680073474,0.018722586766745538,0.0006506770567984497,0.922210368686437,0.029158721798728016
38,mpt,3.447242491461184e-14,8.84292639113956e-14,1.274813588025863e-13,0.1500000000000032,0.050000000000001064,0.7999999999996623,8.314876565052208e-14
38,capm_mvo,0.2833406526335417,0.14901836185035647,0.19676164840083168,3.835365185167473e-18,7.453889935837844e-19,0.33817848975330317,0.0327008473619671
