base_model,SPY,EEM,VIG,GLD,BTC,LATAM,CORP
mpt,0.042259120220579816,0.0,0.0,0.14999999999997637,0.04999999999998019,0.7529833800615101,0.004757499717953431
capm_mvo,0.35458488156941276,0.19395885009699187,0.09768989109427212,0.0,0.0,0.33728184116920956,0.01648453607011351
risk_parity,0.06050049763212645,0.057559630158432844,0.06495680360268662,0.12165142152237822,0.021886288164754016,0.5957105428032654,0.07773481611635646
hrp,0.005636936220560198,0.00966287846674069,0.007247096443331282,0.022956514588205534,0.0006430922051880506,0.9425263750344062,0.011327107041568085
