expected_return,volatility,sharpe,alpha_capm_mvo,alpha_hrp,alpha_mpt,alpha_risk_parity,w_SPY,w_EEM,w_VIG,w_GLD,w_BTC,w_LATAM,w_CORP,frontier_rank,frontier_pct
0.1362205082421778,0.06018515642860428,1.7827150754174816,0.08221711352969781,0.38211456380140396,0.23895148661317536,0.29671683605572297,0.04937397206795419,0.04135376910956637,0.033326872065410476,0.08164617044421271,0.01956957533803706,0.6374985809584301,0.13723106001638902,1,0.01
0.14104270686745568,0.060694287885639873,1.8472114627682499,0.027740004708593006,0.3312744036166647,0.24943673203244807,0.3915488596422943,0.03676302810296631,0.036216281979792375,0.034430790764689946,0.09113785342606123,0.020169546145658426,0.6357703304924872,0.14551216908834455,2,0.02
0.14190397496997753,0.062229411140741715,1.8154832311351576,0.10770233652943324,0.40435162804860975,0.2709460906125171,0.21699994480943996,0.05311313915970236,0.041428846096962395,0.030319714671027828,0.07859095094568792,0.019775950515113362,0.6285406039550859,0.14823079465642028,3,0.03
0.14499505020428646,0.06304577864195268,1.8410039521108528,0.051148768853397655,0.3106084665228695,0.25932844450378495,0.378914320119948,0.04368748457969197,0.03988406875242896,0.035641797295868735,0.09158267136972686,0.02107168226934108,0.6179883496210941,0.1501439461118485,4,0.04
0.15184009026791193,0.06390320581290228,1.9234178652512903,0.037678202701326026,0.3499893617655381,0.3056504358142173,0.30668199971891846,0.034994855280739416,0.03281454319864515,0.02955283893770423,0.09045947782072607,0.02055245256183421,0.6248708419884907,0.16675499021186,5,0.05
0.15459445778814432,0.06457756201964622,1.9459845075812476,0.07119564144900174,0.4219721871115451,0.3395503009047268,0.1672818705347264,0.038015624619960886,0.031033208946766973,0.02346197493609506,0.08210519791304755,0.019734761944367376,0.6301388843839623,0.17551034725580003,6,0.06
0.15564603576529062,0.06636051721379674,1.9095467986858836,0.06598203086552949,0.3284723424356103,0.31416855943414856,0.29137706726471174,0.04338243817529111,0.03727850631691212,0.031038529869691557,0.09055199112201409,0.021520824975534425,0.6054492656890539,0.17077844385150295,7,0.07
0.15900041724643135,0.06662605900839422,1.9522825846490166,0.0620463445365214,0.3665082441464159,0.3428142541241618,0.2286311571929008,0.03843574723119154,0.032724201520980774,0.02651720031963202,0.08820949673920259,0.020939928187953448,0.6129974511332036,0.18017597486783596,8,0.08
0.1621372666526694,0.06868752991352196,1.9393584870475866,0.0859910609189799,0.34734729318616936,0.34931453821103225,0.21734710768381846,0.045628210956545394,0.03660101497938501,0.027884334135883707,0.08835510286613153,0.021772693868830587,0.5964071954927147,0.18335144770050898,9,0.09
0.16343550620563035,0.06878879559457393,1.9553763441047187,0.032749092778092924,0.2697215047635056,0.33427976762611894,0.3632496348322825,0.03640843562036075,0.034814246864892054,0.032508373170505714,0.09943850019067887,0.022696472253476197,0.5912285400602035,0.18290543183988284,10,0.1
