,expected_return_historical_annual_single_path
SPY,0.14264590085321094
EEM,0.05893809566067798
VIG,0.10685123318546602
GLD,0.17666570556646075
BTC,0.5939896481587997
LATAM,0.03205296727091618
CORP,0.0816522387578914
