profile_bucket,months,annual_return_backtest,annual_volatility_backtest,sharpe_backtest,total_return_backtest,max_drawdown_backtest,final_value_backtest,n_rebalances,avg_turnover_when_rebalanced,annual_turnover_average
muy_conservador,71,0.0786131739039202,0.047374199527358836,1.015529582763744,0.564788018352196,-0.06284428302017286,156.4788018352196,8,0.03326719441295473,0.04498099526258669
conservador,71,0.0840643211747063,0.051850786032846645,1.0298979691014856,0.6121633815922221,-0.0710340171913616,161.2163381592222,13,0.02716614133755381,0.05968898660082244
moderado,71,0.08678464647892081,0.054300223777021164,1.032274970747889,0.636247545088378,-0.07500892860833652,163.6247545088378,26,0.017509399486277537,0.07694271323547311
levemente_riesgoso,71,0.09117673303266538,0.06083963679901676,0.9941622493343137,0.6757632323751215,-0.08723556396081222,167.57632323751216,15,0.029848210297746754,0.07567151906471006
muy_riesgoso,71,0.09349135161488853,0.06934020985031819,0.9109664035305797,0.6969048958874029,-0.10166131904738729,169.6904895887403,15,0.028905509778645533,0.07328157408670698
