,beta_capm_robust
SPY,1.4425858360325665
EEM,1.2146793850934061
VIG,1.2302375309983185
GLD,0.3497693062047865
BTC,2.83740896704301
LATAM,0.07569761636152128
CORP,0.576060014295612
