,beta_capm_single_path
SPY,1.4346135121840842
EEM,1.2331366969362487
VIG,1.2174246807212905
GLD,0.35481416126003334
BTC,2.8697750708198684
LATAM,0.07619787387430886
CORP,0.5738602930773848
