,expected_return_capm_annual_robust
SPY,0.07105594521594458
EEM,0.0631901749526341
VIG,0.06552542936077554
GLD,0.03730321306342166
BTC,0.1153040618210392
LATAM,0.03122130035149204
CORP,0.042415576291307336
