expected_return,volatility,sharpe,alpha_capm_mvo,alpha_hrp,alpha_mpt,alpha_risk_parity,w_SPY,w_EEM,w_VIG,w_GLD,w_BTC,w_LATAM,w_CORP
0.06665138838216605,0.04331625988117963,0.8708938843081191,0.043575229641477746,0.4053777865453117,0.35856115677259115,0.19248582704061945,0.04249335333382613,0.028451852730352275,0.025008915873983534,0.08824415402352791,0.02447532220704387,0.7669448569139721,0.024381544917294284
0.06759504766048348,0.04438978764202753,0.8710905628061197,0.05479886238911364,0.3907215013001107,0.3609246633274011,0.19355497298337462,0.04610901674017025,0.030520975689584874,0.026138307481369936,0.0888206074192384,0.02500934783933331,0.7582991214845872,0.025102623345716005
0.068114703494179,0.04493398625285176,0.8721055976008891,0.05921674289243302,0.38173562437839514,0.36314554107503144,0.1959020916541405,0.04768069406418056,0.03143457777223738,0.026702186342215658,0.08941080161600358,0.025324573016447954,0.7539423699900895,0.02550479719882552
0.06901039310306789,0.04527257360133773,0.8853676156227603,0.03189301116364833,0.3417495847718945,0.35121561203728235,0.27514179202717465,0.04323141666318971,0.03058685729469915,0.028860688889200004,0.09562704310348441,0.025512610645111657,0.7474830682522079,0.02869831515210703
0.06931036426285182,0.04565298835798134,0.8845607517661276,0.034237720356508766,0.3354152168894417,0.34704837717284664,0.28329868558120314,0.044278541905285664,0.031423700889106704,0.02956161876744505,0.09596567564575477,0.025570402274948535,0.7438766310878772,0.029323429429582378
0.06992767021314727,0.04581630405001049,0.8948811673645314,0.030484174327974352,0.32328017668836745,0.3715293248508878,0.2747063241327703,0.04342129295648264,0.030319472205756065,0.02875545426037877,0.09816407125706525,0.02644367660673781,0.7442797819918668,0.028616250721712564
0.07067195669742607,0.04668077308493869,0.8942532734178114,0.055940710720505285,0.32749804500374935,0.4029629595008674,0.21359828477487783,0.04892478858708663,0.03176825503739917,0.027563490740755082,0.09628250948956804,0.027536969698848866,0.7414864871450108,0.026437499301331373
0.07168962164470749,0.046775335022846636,0.9142018771918037,0.029904844275529464,0.2913190746055842,0.4223186019353155,0.2564574791835709,0.04385449758343302,0.029300012005794386,0.027737482962336316,0.10278670893554367,0.028500125361018865,0.7402781393355687,0.027543033816305032
0.07176122392877687,0.046778885726518296,0.9156631395336864,0.03305524345092994,0.2936052844307578,0.4330736635718371,0.24026580854647522,0.044275751552795534,0.029039921852900868,0.02708896844442253,0.10254650294369495,0.028781425966242023,0.7415077825982044,0.026759646641739767
0.07253259706676096,0.04737359238084661,0.9204510849771473,0.029418768442880244,0.273823284739153,0.43553438136873307,0.2612235654492337,0.04439229917245077,0.029461906164983252,0.028013445795921767,0.1049624585365327,0.0292314151707326,0.7361179472364793,0.027820527922899685
0.0727595528026638,0.04757934634870793,0.9212406980304917,0.04893321471043228,0.28736478096138524,0.4718594293577061,0.1918425749704764,0.04774986785577911,0.02942281931702989,0.025776126730093857,0.10277061028197726,0.030172934835046433,0.739306452564494,0.02480118841557939
0.07468207390101703,0.047865353910154416,0.955901243859075,0.020115116488734906,0.23811370454462755,0.5433230156545976,0.1984481633120399,0.04147074857349346,0.024618245296632552,0.023644506846625023,0.11218391440242967,0.0327856002255057,0.741680486132141,0.02361649852317267
0.07511267367672553,0.04869673420278119,0.9484239933597477,0.04088827653223338,0.24113637640145175,0.5447112101652327,0.17326413690108222,0.04655666047464454,0.02705549711340301,0.02409255631444252,0.11007679835889722,0.03303461452630517,0.7358818177547582,0.023302055457549303
0.0754052793084947,0.04912875440905524,0.946039794963385,0.03093222582478895,0.22198993045853585,0.5117206301481196,0.23535721356855555,0.04586477736445468,0.02843730050546045,0.02680191573786158,0.11208634600488858,0.032433085455781524,0.727935931110551,0.02644064382100222
0.07572104162047993,0.04917092292392569,0.9516502086473033,0.015475886267875138,0.2036418387673549,0.5039904015918124,0.2768918733729576,0.04313357317226221,0.027788927497136448,0.02782241359557383,0.11513891610510503,0.03241968938774494,0.7256498350709245,0.028046645171253073
0.07590809334095813,0.04919515512808789,0.9549836901233608,0.0328786467598396,0.21851183819678538,0.5493906908701028,0.19921882417327205,0.04566604386871097,0.026949727818547164,0.02491103031316538,0.11322669821278616,0.033547920921819206,0.7312846541592225,0.024413924705748505
0.07660724287436214,0.049855750876185455,0.9563534692763336,0.018765756842251523,0.18824450635775086,0.5213630996338261,0.2716266371661716,0.04441771808832818,0.028115988272876972,0.02786203626003476,0.11687140405423768,0.03326735537524956,0.7215237676041332,0.027941730345139693
0.07697716160338394,0.050512361438407746,0.9512451541476178,0.0481699027788645,0.20319444774143924,0.5504558026778958,0.1981798468018004,0.05038425371353922,0.029640100660912667,0.026293859390598463,0.11347953186564208,0.03411588207377476,0.7208439813772352,0.02524239091829776
0.07810836555290891,0.050778764778509684,0.968531692467978,0.02678241172974233,0.1684816868839093,0.5764806487177175,0.22825525266863086,0.04625830417621429,0.02735350424990932,0.02615486300044796,0.11959217878674097,0.035288445107882496,0.7194998643041457,0.025852840374659302
0.07836706632455756,0.0509249815962919,0.9708308616769715,0.03716999214700636,0.17416432989454492,0.6048523172461189,0.18381336071232982,0.04791749343798639,0.026951441218505415,0.024536013554327656,0.11881119021522316,0.03606589771266802,0.7219154952266984,0.023802468634590995
0.07886275828065195,0.05160137534360112,0.9677113330332705,0.02722662836521075,0.1493357600083422,0.5667844869321825,0.2566531246942646,0.04766441541343573,0.028884035611084106,0.027879720231083822,0.12127490553374658,0.035452252387361056,0.7112585551153556,0.027586115707933234
0.07898374806851809,0.05163881250940761,0.9693527615270628,0.015926919296221902,0.13676885051682888,0.5519670338062768,0.29533719638067246,0.045836564683250154,0.028832669690733656,0.029102027194135557,0.12318726011856852,0.03517751128298496,0.7086117484144641,0.029252218615863038
0.07980602738854697,0.05171770872076453,0.9837733744684207,0.023843576991359576,0.13647248580920693,0.6267722607249723,0.21291167647446116,0.04610542268045543,0.026059374836883663,0.025087791775721062,0.12441519650082422,0.037301014995766865,0.7162135893861111,0.024817609824237568
0.07982133010216949,0.05231000282513313,0.9729268742683228,0.021225638815161575,0.12410282141216246,0.5712507553013544,0.2834207844713216,0.04743505557108135,0.029180166656896538,0.02893603177939451,0.12451035274257406,0.03604370798317795,0.7050308258245264,0.028863859442349166
0.08032739652704127,0.052320619705781196,0.9824018571556833,0.008393109999906707,0.10727966592471053,0.5867350816655583,0.29759214240982446,0.04473988068720305,0.027609738864085957,0.02861919744327771,0.1277631000237043,0.03665619156550282,0.7056165637118,0.028995327704426192
0.08039420801858663,0.0530502037158989,0.9701505715918056,0.02157798007722696,0.10788275220348963,0.5548631020957616,0.31567616562352174,0.04881273960503623,0.030889269090998185,0.030866577883341382,0.12573093679584477,0.03596242086824387,0.6969212970653474,0.0308167586911881
0.08087139941375342,0.05322022040700296,0.9760176950784072,0.016882474777772518,0.09656365076319923,0.5693442399517508,0.31720963450727746,0.04790598628740107,0.03013091679140265,0.030554292315848074,0.12767514657675272,0.036536413710507504,0.6965421493576894,0.03065509496039857
0.08223550199298632,0.05337997120693162,0.998651333583306,0.03441989890218405,0.10034746678914891,0.7017670415501533,0.16346559275851363,0.04903896570552525,0.025452440914838257,0.023309294103893503,0.1290954654731211,0.04024843512485004,0.7103198774838625,0.02253552119390932
0.08231603414189687,0.0538472526146315,0.9914806975099866,0.027994176107482293,0.08541009801209641,0.6532014999402908,0.23339422594013062,0.049378430071005196,0.027863023748389608,0.02678184280429308,0.12996650886711492,0.039183358430408224,0.700492842333805,0.02633399374498411
0.083232480892935,0.05445038272862696,0.9973292309631263,0.027809199660221506,0.06808241445224977,0.6754779924778823,0.2286303934096463,0.049770045770616306,0.027594241644963675,0.026536835257057013,0.13232802696803472,0.040158600046655335,0.6975487018072155,0.02606354850545731
0.08377506558466201,0.054868926791445165,0.9996102754586396,0.03761825087703365,0.06663989415222667,0.7030814657747244,0.1926603891960153,0.05169629918693743,0.027522020661697177,0.025371115534129077,0.13231082372435807,0.04106342792001543,0.6975446857192824,0.024491627253580468
0.08377957373037431,0.055187437898194754,0.9939227704503203,0.02033057316555344,0.04429749005257759,0.6412711680148898,0.29410076876697916,0.04999523814792243,0.02959300601028265,0.02967988789548114,0.13456499828516877,0.03965890157165344,0.6869586567276518,0.02954931136183989
0.08448868052264304,0.055276779902806404,1.0051446205765076,0.05791283177566568,0.07487350825417587,0.7691338486035214,0.09807981136663707,0.05484719294090693,0.02634340890164,0.021769998659526647,0.13134894368118102,0.04293064610826251,0.7027298790866293,0.02002993062185365
0.08584858859276365,0.055662629323525795,1.0226082871755466,0.019840600283853663,0.020497330370957478,0.7736026848849571,0.18605938446023174,0.048076285240602895,0.02402127881095408,0.023483885381266067,0.14040730955023384,0.04373043065332015,0.6971323796761719,0.023148430687451118
0.08590047316399681,0.05715555705897998,0.9968050970907287,0.06333935477485668,0.03781481256757029,0.7292970316278083,0.16954880102976472,0.059227436911445164,0.03096241956871855,0.026476472396403928,0.1336694725144924,0.04274232637477504,0.682299018480499,0.024622853753665942
0.08670019134770507,0.0571967250711053,1.0100695226053273,0.03867802153190068,0.006530042899928972,0.7431030789571296,0.21168885661104078,0.05436556079025474,0.028701836536901185,0.026722145781371512,0.13940888192719497,0.043467665968248435,0.6815762613545362,0.025757647641492982
0.08741179676196464,0.058939395949077475,0.9922781402773176,0.08460600642038034,0.01805486891537139,0.7420695340760866,0.15526959058816175,0.06543757298488596,0.03405102179370134,0.027657396233195682,0.13414864203587556,0.04380206529124715,0.6698909486475084,0.025012353013585925
0.0874655057501535,0.06015238515882092,0.9731614637565829,0.09687387097259384,0.010772339335404937,0.6694786492921408,0.22287514039986037,0.0706748639921282,0.03968711216298812,0.032689934854281864,0.13197592943057126,0.042173678688998927,0.6530714316791376,0.029727049191893968
0.08761046138811306,0.06033950954014425,0.9725458372929823,0.09784749403702855,0.007631767521877737,0.6675648053112597,0.2269559331298339,0.07114237056697405,0.04007006653097556,0.03302224360888205,0.13216433579737782,0.04220389978629737,0.6513686823968303,0.030028401312662687
0.08781511240676416,0.06136927894206538,0.9595613776366902,0.11507405357075645,0.007514828873012569,0.6357140795873338,0.24169703796889708,0.07628336171234505,0.04390344738791478,0.03544981856526748,0.1298503337877222,0.04158048512353763,0.6410499216001447,0.03188263182306809
0.08785118698841723,0.06178131961988512,0.9537456433498761,0.12218722914579248,0.008222881426898447,0.620566455934655,0.24902343349265402,0.07841113994616526,0.045549057075400495,0.03652149763619334,0.12876653684057526,0.041252871677047866,0.6367781291502297,0.03272076767438804
0.08799562626129634,0.061951986917395716,0.9534497058102397,0.12901790777099012,0.011146149239260224,0.6316797638340548,0.22815617915569497,0.07972514769154013,0.04570985207289816,0.03593979244144238,0.1281454334797105,0.041579088423254855,0.6370318207186684,0.03186886517248568
0.0880653156056862,0.062014431371502365,0.9536134047713989,0.128741925487034,0.009322624017897031,0.6315350352648248,0.23040041523024424,0.07975971925377441,0.045775233856373845,0.0360484064696097,0.12835350091727074,0.04161137139023145,0.636463226680587,0.03198854143215297
0.08812031698478079,0.06217828675836484,0.9519849695162597,0.13607671254501089,0.013694526095466834,0.63757941376133,0.2126493475981923,0.08124089057556998,0.04618415916731761,0.0356883114806629,0.1274106307656276,0.041776380027295244,0.6363514746290311,0.03134815335449558
0.08822264357187277,0.06219256146138878,0.9534117845932361,0.13368965516250197,0.010173062463286307,0.6393866631134463,0.2167506192607655,0.08078662820444389,0.045966673535196116,0.03571468692453598,0.12802879669317127,0.041870033006027534,0.6361732217186498,0.03145995991797551
0.0885465824211023,0.06352101711298272,0.9385721855573296,0.16176623234933626,0.015979198534169414,0.6182976517946063,0.20395691732188823,0.08810601167089453,0.05034026713592478,0.03753761478628449,0.12442209540943082,0.04155154826811957,0.625750522767023,0.032291939962323025
0.08886475712078509,0.06411543307886222,0.9348331857404206,0.17364481948190616,0.016353243971856397,0.6208242904756873,0.18917764607055004,0.09104874389815956,0.05171521556372152,0.03777564492555397,0.12340029360760865,0.041770137053196356,0.6221985079977927,0.032091456953967167
0.08899121632754739,0.06443780606680001,0.9321188512336417,0.16921869660723218,0.006278144370340481,0.5973592702911085,0.22714388873131883,0.0910353709118253,0.0528569154654598,0.03958025572336914,0.12423137147821563,0.04130034020375674,0.6168927925037185,0.03410295371365486
0.08940805263352611,0.06459995141345648,0.9362318198335695,0.17752529666497066,0.00817209306859663,0.6320572393454458,0.18224537092098694,0.0922265857250556,0.05206053074633228,0.03775439706248613,0.12418353388346218,0.04230287687108374,0.6195600780019567,0.03191199770962343
0.08946987126452668,0.06593218488506354,0.9182518190398471,0.19335219007377688,0.005031608531352104,0.5708739820119403,0.2307422193829308,0.09787055635701983,0.05736067748294934,0.04200318611510134,0.12156039965356669,0.04093822867830005,0.6045756921357814,0.03569125957728142
0.08964940757470627,0.0660272206518612,0.9196492660856691,0.2171614324829677,0.02553809430226744,0.6243382156135229,0.13296225760124203,0.10153004980152372,0.05664396767375784,0.0385077425870902,0.1187083800103884,0.04224570737052848,0.6111401038117197,0.031224048744991722
0.0896816342994671,0.06657554482050293,0.9125589869782242,0.21485771164147924,0.015526318619014134,0.5824809208637178,0.1871350488757888,0.10248661434052363,0.05898955859845001,0.04143892533166526,0.11887975847001377,0.04130842310895788,0.6025798793268003,0.03431684082358915
0.08986905065928763,0.06682003322539794,0.9120248098825923,0.20808306395938458,0.0036675282986942683,0.5648205913641366,0.2234288163777845,0.10183797719022042,0.05962646986262289,0.042936748334995625,0.1202483100897724,0.0410022774266079,0.5982503521274597,0.03609786496832111
0.09030461011085701,0.06759053085033294,0.9080722814001853,0.23248309877237683,0.013126165974101081,0.5892491112373787,0.16514162401614343,0.10694621836412022,0.061027559428969404,0.04179626813606788,0.1177438146602632,0.041778538940925716,0.5966882021601027,0.03401939830955086
0.0903536596806655,0.07016524619032348,0.8754496058276672,0.265355190258773,0.012117700237040301,0.48173010851894377,0.24079700098524287,0.11790123108297285,0.0707590924528196,0.049164250738111225,0.11222450596858771,0.039349451061863716,0.5702258071007158,0.04037566159492907
0.09045282695325554,0.0705258391275711,0.8723796150999287,0.28095435286240594,0.021893901853052924,0.49492025503011416,0.20223149025442688,0.12101679521497252,0.0715872210323839,0.04835035584334778,0.11017861098130699,0.039698940315085446,0.5702031987054142,0.03896487790748899
0.09100053695675725,0.07072753684318159,0.8776357436827061,0.30348186638922253,0.03573209736208816,0.5628739878901706,0.09791204835851867,0.12437952082500951,0.07031109472641492,0.0443789519804892,0.10849205070516572,0.04152461230455368,0.5768680150075819,0.034045754450785025
0.09176673228453393,0.07181215377930439,0.8750497849863687,0.29743432485085386,0.007739046357278926,0.5287853858474235,0.16604124294444378,0.12520012956661508,0.07270281491880612,0.04781729912320601,0.11103829411183694,0.04113922278981976,0.5643262368144846,0.03777600267523163
0.09236114164971537,0.07350898494643454,0.862936947577135,0.3324143354995648,0.0148279565911428,0.5255141505095055,0.12724355739978696,0.13378530263914187,0.07698968746463829,0.04877409445342496,0.10714255248340848,0.0413640428476091,0.5544864386416224,0.03745788147015487
0.0923866324980985,0.07698388017714637,0.8243168542755728,0.3809912083185531,0.02105021887841433,0.4019539358674037,0.1960046369356289,0.14871298145957834,0.08917942827312729,0.057166243711600936,0.09908892230240922,0.03855560768630336,0.5230069333773051,0.04428988318967574
0.0927084342886812,0.07799920299210919,0.8177123519401606,0.401956181902234,0.026167384898700123,0.4003379117100613,0.1715385214890047,0.15380202174423713,0.09168672835303175,0.05766761688630684,0.09667352071091946,0.038680629241589354,0.5174632878914313,0.044026195172484205
0.09322187108494617,0.0790313539753963,0.8135296346361018,0.40788974051994337,0.014078806164921848,0.38022569482479796,0.19780575849033674,0.15645812068217924,0.09408896951186678,0.059754496880248274,0.0968830211263093,0.038483516719070514,0.5083954397301786,0.04593643535014713
0.09334760119684696,0.08088209648996568,0.7964689521159161,0.4422995094466524,0.025472154238708217,0.3434182960291457,0.1888100402854937,0.16544891740467038,0.09978731191020179,0.06236170924224799,0.0917454125098725,0.03770497956510169,0.49560496160527095,0.04734670776263468
0.09360017767886238,0.08097377962982891,0.7986863823569482,0.43476121541357565,0.013980624014831054,0.33835263931205517,0.21290552125953813,0.1642887875668466,0.09966719858733629,0.0630869373261657,0.09346269780025981,0.03771920636315066,0.4934143906367633,0.048360781719477636
0.09383203643351148,0.08143209114528777,0.7970385257228131,0.4379919548470398,0.009215573765746419,0.3311604050986507,0.2216320662885632,0.16554540922846145,0.100691028499895,0.06389770494959617,0.09348527758671284,0.037673210340480885,0.4896393186291879,0.04906805076566578
0.09395306610157357,0.08607801350335446,0.7554256992523875,0.49564094504889167,0.013632037134624506,0.17998824910530437,0.3107387687111795,0.18353284889138094,0.11553993098978793,0.07429662849473337,0.08411762678431163,0.0342832039496039,0.4506051603056847,0.05762460058449758
0.094172472214172,0.0869964652088646,0.7499724212585389,0.5279837467854291,0.03263242203241785,0.20227783417495698,0.23710599700719595,0.1901823131962909,0.11757913525170427,0.0729764412567876,0.07987799695330942,0.03489957356121639,0.44940831257262903,0.05507622720806235
