scenario_id,base_model,annual_return_oos,annual_volatility_oos,sharpe_oos,max_drawdown_oos,total_return_oos
1,mpt,0.2201124238035015,0.0687148473362333,2.737042415258037,-0.011874851588052793,0.416445067408056
1,capm_mvo,0.06723382908559805,0.07444167462851221,0.7136935779799822,-0.04294352351966735,0.12060942360474391
1,risk_parity,0.09472608858352505,0.047907392748899665,1.6114983400403737,-0.014167092786313007,0.17161404407175684
1,hrp,0.016278104546916916,0.013158328825837477,0.11493524259651329,-0.005479546728082707,0.02866033921498845
2,mpt,0.46621735337292947,0.09060178668200786,4.062841512093328,-9.085336762382212e-05,0.9536516196493061
2,capm_mvo,0.4573834721112242,0.08905184884891063,4.06193317576659,0.0,0.9330995509765985
2,risk_parity,0.05761425974356604,0.037953133543212475,0.8518162256670415,-0.014779661237369845,0.10299303758204714
2,hrp,0.02721827734001825,0.021996680543621094,0.11885108090552983,-0.009129140880491438,0.04811706459960785
3,mpt,0.2175303379236142,0.09453519725357926,1.8164841385627855,-0.041513725511769795,0.4112034687530626
3,capm_mvo,-0.040037229342161584,0.1558152959861895,-0.3842567328634979,-0.20111270204300602,-0.06900964139507626
3,risk_parity,0.0804920973932024,0.07700660320803722,0.6440485526604758,-0.07177703601867802,0.14508517217332373
3,hrp,0.04827412921687113,0.032941729589311276,0.5120430254951509,-0.017678412082071326,0.0860029842168506
4,mpt,0.23578912916023897,0.03698818251260129,4.8018796629826,0.0,0.4484471329327693
4,capm_mvo,0.15953360309095865,0.055186066814924245,2.0613869704490444,-0.018864624674822417,0.29567429588588534
4,risk_parity,0.264511312469919,0.04171130029610361,4.823577220149204,0.0,0.5078729769614374
4,hrp,0.07609871789678246,0.017664298590909167,2.100359096881231,-0.0021995901452972477,0.13694956392539948
5,mpt,0.16753130499798607,0.06628099765183167,1.9662970963675446,-0.01829163082429275,0.3113539680254138
5,capm_mvo,0.23664359016574377,0.08901661428511211,2.138146129406692,-0.013671324512935623,0.4502002106108025
5,risk_parity,0.12109281707003094,0.043025190412763134,2.04763905357367,-0.013289529319945093,0.22144171353964137
5,hrp,0.044850648857941655,0.026364820590390425,0.6318334868113676,-0.019022509176034985,0.07980386918382965
6,mpt,0.3683391100447744,0.09784517333907665,2.924541527489802,-0.014740218866075905,0.7311673208384522
6,capm_mvo,0.1637010749238763,0.08241902632337016,1.454144223927488,-0.042710859117838784,0.3038346309760773
6,risk_parity,0.17502886066538315,0.054866263229710686,2.3305298431393804,-0.013807198177753888,0.32612644008998304
6,hrp,0.0553679260230866,0.027042057153017194,0.6814915918455867,-0.019119451813538024,0.09889654955567284
7,mpt,0.9317462625828843,0.2230476788446284,2.98547561748694,-0.039163807336131784,2.165283699026218
7,capm_mvo,0.018741999733206338,0.13881856840523094,-0.029298659318118946,-0.1404395309322911,0.03302865764755736
7,risk_parity,0.051955558417252856,0.03826466416861958,0.5129602118890023,-0.02112327411738002,0.09268614728258417
7,hrp,0.008850955491690238,0.016341245063685707,-1.4003149906800103,-0.011733072884045126,0.015540544535635581
8,mpt,0.739535879698072,0.1017209112258708,5.338181139311067,0.0,1.6348653976972023
8,capm_mvo,0.7395358796980558,0.10172091122586897,5.338181139311069,0.0,1.6348653976971597
8,risk_parity,0.043953529989404716,0.036862774701902516,0.4198786707737612,-0.01836210072143052,0.07818191405181385
8,hrp,0.010943907306455003,0.014426783322672393,-1.1971450595120263,-0.007566240394958346,0.01923036482559559
9,mpt,0.07374547983708268,0.07572621149146302,0.6731551194484946,-0.03482630223450056,0.132602093465237
9,capm_mvo,-0.15110265334375816,0.12323893340796163,-1.4481325778855296,-0.29983921036612016,-0.24924789557116034
9,risk_parity,-0.05731895095403805,0.06317483665902199,-1.2671080288679055,-0.14282359894952046,-0.09814159154907809
9,hrp,-0.018326036720202055,0.01863733358401036,-2.2205248845385617,-0.04618878944712468,-0.0318498283556643
10,mpt,0.2949721980704034,0.06428289546088349,3.8449939548176797,-0.0035241478151697425,0.5720117144771124
10,capm_mvo,0.15662587355327529,0.07950104517289469,1.6770065732700843,-0.02763251717740789,0.28999367399650255
