base_model,SPY,EEM,VIG,GLD,BTC,LATAM,CORP
capm_mvo,0.3350369738203601,0.20199150082758455,0.0976342138698226,0.037366050928361844,0.037366050928361844,0.24730797012841016,0.04329723949709884
hrp,0.006931645289807061,0.011020394594128319,0.008825954658626104,0.021406728602842325,0.0012835209761504918,0.9424520916379464,0.00807966424049929
mpt,0.0020725795883233837,0.002072579588323453,0.002072579588323415,0.15,0.0366562584160783,0.3413940523927455,0.46573195042620597
risk_parity,0.06297003841438813,0.06754019075351206,0.07223013468302726,0.11644602408716695,0.024427083690026895,0.5913528520792605,0.06503367629261814
