,SPY,EEM,VIG,GLD,BTC,LATAM,CORP
SPY,0.030277916528405856,0.020775932517698492,0.025490589167905142,0.004750938153150624,0.0653842400405008,0.001095771999722489,0.013612707794722487
EEM,0.020775932517698492,0.02947499785756811,0.016758762555883055,0.010584215645713704,0.039394983012329673,0.0013830265495630232,0.007044346731684568
VIG,0.025490589167905142,0.016758762555883055,0.023550767634550065,0.004894391703368334,0.04968771543713607,0.0011266229471856768,0.01026412665423785
GLD,0.004750938153150624,0.010584215645713704,0.004894391703368334,0.021894575270981854,0.008051371012200348,0.00127066023421674,0.005338896633808129
BTC,0.0653842400405008,0.039394983012329673,0.04968771543713607,0.008051371012200348,0.44288100494366733,0.0008087794171857717,0.024082621870071836
LATAM,0.001095771999722489,0.0013830265495630232,0.0011266229471856768,0.00127066023421674,0.0008087794171857717,0.0005332722244430672,0.0008884176411727762
CORP,0.013612707794722487,0.007044346731684568,0.01026412665423785,0.005338896633808129,0.024082621870071836,0.0008884176411727762,0.06421968921565527
