,SPY,EEM,VIG,GLD,BTC,LATAM,CORP
SPY,0.03047888065630325,0.020696921726988414,0.025670603425539232,0.0048442209126842535,0.0656806501043778,0.001124700501550202,0.013501958576631863
EEM,0.020696921726988414,0.029041115413033444,0.01672816227509357,0.010393220289164496,0.03851638515495878,0.0013661140741190487,0.009477657445317443
VIG,0.025670603425539232,0.01672816227509357,0.023677861023738984,0.005030745053576172,0.05004369302513618,0.001165590367678245,0.010812591808136882
GLD,0.0048442209126842535,0.010393220289164496,0.005030745053576172,0.021326558302888945,0.008901308865461222,0.00117822557712969,0.0029882011144917718
BTC,0.0656806501043778,0.03851638515495878,0.05004369302513618,0.008901308865461222,0.43775200133160647,0.0009148540547785057,0.03699240684634685
LATAM,0.001124700501550202,0.0013661140741190487,0.001165590367678245,0.00117822557712969,0.0009148540547785057,0.0005249439487674565,0.00011615857552395817
CORP,0.013501958576631863,0.009477657445317443,0.010812591808136882,0.0029882011144917718,0.03699240684634685,0.00011615857552395817,0.04982945798840578
