base_model,mean_sharpe_oos,median_sharpe_oos,std_sharpe_oos,prob_positive_sharpe,mean_annual_return_oos,mean_annual_volatility_oos,mean_max_drawdown_oos,n_valid_scenarios,mean_weight_l1_dispersion,median_weight_l1_dispersion,robust_score_raw,alpha_center
capm_mvo,0.5659276707849487,0.6116285641299178,0.7056964091128223,0.78,0.09195464752641883,0.13817195744930844,-0.11799872842879709,250,0.38533948653494243,0.2242496467146008,0.3186392848126804,0.15740805482659675
hrp,0.2837970752647963,0.4332166958434909,0.8201790288580585,0.704,0.04035644083528371,0.02471682462598258,-0.013269763959455106,250,0.028864926467887273,0.022829849420370314,0.1941879209278814,0.09592898415538488
mpt,1.0339065339528184,1.1215075511317514,0.8538589293916569,0.88,0.09925279647165484,0.06930420941128781,-0.04739731732345651,250,0.2117748411439859,0.0903829807600394,0.750830698068909,0.37091094952903136
risk_parity,0.9251397954430824,1.0056939813692662,0.7951294530528346,0.884,0.08232041540264216,0.05854126951144097,-0.04428092086512238,250,0.07519180898381657,0.060098348218817835,0.7606304031878971,0.37575201148898707
