FECHA,rf_monthly_return
2020-02-29,0.001249707718735893
2020-03-31,0.0009368245400691588
2020-04-30,0.0005814701329551752
2020-05-31,0.0005317752560254352
2020-06-30,0.0005400596211888598
2020-07-31,0.00054834323189068
2020-08-31,0.0004571819950607292
2020-09-30,0.000598029060451033
2020-10-31,0.0005731895386635877
2020-11-30,0.0007303920788652718
2020-12-31,0.0006973193751587115
2021-01-31,0.0007717160582849658
2021-02-28,0.0009203271676552216
2021-03-31,0.0011921521074573782
2021-04-30,0.0014385631912894326
2021-05-31,0.001364709877352599
2021-06-30,0.0013072269593599195
2021-07-31,0.0012003765662376154
2021-08-31,0.0010275066643834485
2021-09-30,0.0010769315803607071
2021-10-31,0.0012579269787644787
2021-11-30,0.0012825803067024744
2021-12-31,0.001183926905437005
2022-01-31,0.0012579269787644787
2022-02-28,0.0014795669370546438
2022-03-31,0.0015123566425381263
2022-04-30,0.001913075204727166
2022-05-31,0.0023770098189335176
2022-06-30,0.002344529964669828
2022-07-31,0.002450047191444371
2022-08-31,0.0021982271766594064
2022-09-30,0.002587847171547919
2022-10-31,0.0031369733958956925
2022-11-30,0.0033540948994528197
2022-12-31,0.0030161266025487965
2023-01-31,0.0031772200986699417
2023-02-28,0.0028870465787962374
2023-03-31,0.0032094046775821283
2023-04-30,0.0028547479987741653
2023-05-31,0.002822437972181291
2023-06-30,0.0029838737241476565
2023-07-31,0.003120869740134813
2023-08-31,0.0032496194358382358
2023-09-30,0.0033460625725758586
2023-10-31,0.0037468150587982585
2023-11-30,0.0039784475501516425
2023-12-31,0.003570700804265803
2024-01-31,0.0031772200986699417
2024-02-29,0.0032657003754898994
2024-03-31,0.003474495003497502
2024-04-30,0.003434379290046863
2024-05-31,0.003826754761650397
2024-06-30,0.0036828128357737633
2024-07-31,0.0035626875279843873
2024-08-31,0.0033460625725758586
2024-09-30,0.003201359597605702
2024-10-31,0.003120869740134813
2024-11-30,0.003498555966724881
2024-12-31,0.0034183280638138136
2025-01-31,0.0037388172355212745
2025-02-28,0.0037388172355212745
2025-03-31,0.0034664732719604796
2025-04-30,0.003458450834976645
2025-05-31,0.003410301391423509
2025-06-30,0.003602746873047291
2025-07-31,0.0034664732719604796
2025-08-31,0.003570700804265803
2025-09-30,0.003458450834976645
2025-10-31,0.003402274012677786
2025-11-30,0.003362126519063313
2025-12-31,0.003289816470036566
