base_model,SPY,EEM,VIG,GLD,BTC,LATAM,CORP
capm_mvo,0.31688889615348775,0.19003636864931597,0.10270183169129345,0.0364862755840049,0.03648627558400497,0.24947365408303915,0.06792669825485374
hrp,0.006786819234981701,0.010640631035673823,0.008365667103705354,0.021892412563576876,0.001253466818113294,0.9413384560805115,0.009722547163437508
mpt,0.038832856604924255,0.011017629768932623,0.011017629768933519,0.15,0.05,0.7281141140877991,0.011017769769410522
risk_parity,0.06239247509045606,0.061859124787331514,0.06853444997971331,0.1246605284766279,0.02311463132246816,0.5891490722493746,0.0702897180940284
