FECHA,SPY,EEM,VIG,GLD,BTC,LATAM,CORP
2020-02-29,-0.07916576010940857,-0.03775825219662776,-0.08343303820690762,-0.0063617491461863684,-0.07301676556959436,0.0002009184845006562,0.004727594890328701
2020-03-31,-0.129987173428745,-0.1576999012833169,-0.1002523714211121,-0.002224019409623801,-0.2525466281179113,-0.0009374312470705748,-0.12899267429109362
2020-04-30,0.12698351115421924,0.07354233811895683,0.09875229712738176,0.07261060452549817,0.3618355378569653,0.007104353570847044,-0.038434152995471704
2020-05-31,0.04764527678325514,0.0297489082969431,0.03600352112676064,0.025881612090679962,0.06677573142877846,0.0016922565004517942,0.04481523114977959
2020-06-30,0.013275499474237673,0.05989928438908043,-0.004333418302319592,0.02737707936897671,-0.0285547092383569,0.0009016447899166113,0.1273695055922781
2020-07-31,0.05889220391749883,0.08252063015753941,0.049752517494452864,0.10790464240903397,0.24035403609235284,0.0018206300138443599,-0.06690106558886022
2020-08-31,0.0697966433909103,0.028875028875028796,0.061621006422242,-0.0032357223750202335,0.029347863450509326,-0.000558447704685161,0.03235091528663725
2020-09-30,-0.04128138329850284,-0.01010327795240229,-0.014779079561987984,-0.04171400746632048,-0.08319918483379851,0.0006250532715854629,-0.11850742942164616
2020-10-31,-0.02493356027352256,0.014062145611249743,-0.02269547644955694,-0.00519421860885283,0.2738884556292873,0.0005678752945854626,-0.02734962310356459
2020-11-30,0.10877687266491076,0.08991277119212704,0.10036583426117396,-0.05408626560726448,0.42077545591980936,0.002610743778200364,0.025004996536135193
2020-12-31,0.03264652267579948,0.06033244407962246,0.020309337958947404,0.07013859722805571,0.49630339843776183,0.0027643334937210717,0.053162865936477566
2021-01-31,-0.010190435433829026,0.031739887749177464,-0.029184670964085724,-0.032238169993272,0.19467359261256956,0.000442203112357209,-0.019196234851541427
2021-02-28,0.02780555030129439,0.007878446820483775,0.01576067128785108,-0.06256879670934479,0.31843599609596596,-0.001777435038981201,0.04071798212681532
2021-03-31,0.041986539068251005,-0.007258514796203097,0.05653329502190929,-0.011433162350905302,0.29094680642826276,-0.000942116370214019,-0.0027407392194966906
2021-04-30,0.052910453410037084,0.011998500187476502,0.0403181941800379,0.035633908477119114,-0.03639336365887491,0.002131190826449414,-0.027137004999818304
2021-05-31,0.006566019650131816,0.016487587995553943,0.01758055029083061,0.0767837739949293,-0.380116040921991,-0.0014773689658417188,-0.019168656012649388
