date,profile_bucket,portfolio_return,portfolio_value,cumulative_return,rebalance_flag,turnover,target_w_SPY,start_w_SPY,post_w_SPY,end_w_SPY,drift_SPY,target_w_EEM,start_w_EEM,post_w_EEM,end_w_EEM,drift_EEM,target_w_VIG,start_w_VIG,post_w_VIG,end_w_VIG,drift_VIG,target_w_GLD,start_w_GLD,post_w_GLD,end_w_GLD,drift_GLD,target_w_BTC,start_w_BTC,post_w_BTC,end_w_BTC,drift_BTC,target_w_LATAM,start_w_LATAM,post_w_LATAM,end_w_LATAM,drift_LATAM,target_w_CORP,start_w_CORP,post_w_CORP,end_w_CORP,drift_CORP
2020-02-29,muy_conservador,-0.01430246729603475,98.56975327039652,-0.014302467296034793,0,0.0,0.027848066850947453,0.027848066850947453,0.02601553987942879,0.02601553987942879,-0.0018325269715186616,0.026706626098142353,0.026706626098142353,0.02607111179847663,0.02607111179847663,-0.000635514299665723,0.024592983973447533,0.024592983973447533,0.02286818811459762,0.02286818811459762,-0.0017247958588499125,0.10257443725845457,0.10257443725845457,0.10340077055911152,0.10340077055911152,0.0008263333006569562,0.023659469046792208,0.023659469046792208,0.02225016337591699,0.02225016337591699,-0.0014093056708752195,0.5710106231970272,0.5710106231970272,0.5794123763497335,0.5794123763497335,0.008401753152706304,0.22360779357518865,0.22360779357518865,0.2199818499227348,0.2199818499227348,-0.0036259436524538335
2020-03-31,muy_conservador,-0.032494294603366884,95.36679866864708,-0.04633201331352921,0,0.0,0.027848066850947453,0.02601553987942879,0.023394025749956904,0.023394025749956904,-0.004454041100990548,0.026706626098142353,0.02607111179847663,0.02269723053726911,0.02269723053726911,-0.004009395560873243,0.024592983973447533,0.02286818811459762,0.02126664257506375,0.02126664257506375,-0.0033263413983837843,0.10257443725845457,0.10340077055911152,0.10663586236540352,0.10663586236540352,0.004061425106948957,0.023659469046792208,0.02225016337591699,0.017189520999711914,0.017189520999711914,-0.006469948047080294,0.5710106231970272,0.5794123763497335,0.5983109079919007,0.5983109079919007,0.027300284794873453,0.22360779357518865,0.2199818499227348,0.21050580978069414,0.21050580978069414,-0.01310198379449451
2020-04-30,muy_conservador,0.08983668881970723,103.934236084374,0.03934236084373999,0,0.0,0.027848066850947453,0.023394025749956904,0.024191405510739034,0.024191405510739034,-0.003656661340208419,0.026706626098142353,0.02269723053726911,0.022357880028973615,0.022357880028973615,-0.004348746069168737,0.024592983973447533,0.02126664257506375,0.02144061823321848,0.02144061823321848,-0.0031523657402290524,0.10257443725845457,0.10663586236540352,0.10495036363634028,0.10495036363634028,0.0023759263778857093,0.023659469046792208,0.017189520999711914,0.021479640772140398,0.021479640772140398,-0.00217982827465181,0.5710106231970272,0.5983109079919007,0.5528915721126471,0.5528915721126471,-0.018119051084380167,0.22360779357518865,0.21050580978069414,0.2526885197059411,0.2526885197059411,0.029080726130752438
2020-05-31,muy_conservador,-0.0018589582628019089,103.74102667741695,0.03741026677416959,0,0.0,0.027848066850947453,0.024191405510739034,0.02539121292714764,0.02539121292714764,-0.002456853923799813,0.026706626098142353,0.022357880028973615,0.023065881061858355,0.023065881061858355,-0.0036407450362839974,0.024592983973447533,0.02144061823321848,0.02225392510269841,0.02225392510269841,-0.0023390588707491236,0.10257443725845457,0.10495036363634028,0.10786716880148041,0.10786716880148041,0.0052927315430258415,0.023659469046792208,0.021479640772140398,0.02295663492170131,0.02295663492170131,-0.0007028341250908988,0.5710106231970272,0.5528915721126471,0.5548586655706496,0.5548586655706496,-0.016151957626377667,0.22360779357518865,0.2526885197059411,0.24360651161446434,0.24360651161446434,0.019998718039275692
2020-06-30,muy_conservador,0.0171408992440841,105.5192411631724,0.05519241163172395,0,0.0,0.027848066850947453,0.02539121292714764,0.02529471971890318,0.02529471971890318,-0.0025533471320442723,0.026706626098142353,0.023065881061858355,0.024035520397848665,0.024035520397848665,-0.0026711057002936876,0.024592983973447533,0.02225392510269841,0.021784090633683955,0.021784090633683955,-0.002808893339763578,0.10257443725845457,0.10786716880148041,0.10895270942838346,0.10895270942838346,0.006378272169928895,0.023659469046792208,0.02295663492170131,0.02192529560358324,0.02192529560358324,-0.001734173443208968,0.5710106231970272,0.5548586655706496,0.5460000196711503,0.5460000196711503,-0.025010603525876918,0.22360779357518865,0.24360651161446434,0.25200764454644725,0.25200764454644725,0.028399850971258606
2020-07-31,muy_conservador,0.05642905231500739,111.47359194300894,0.11473591943008943,1,0.06075258989988635,0.027848066850947453,0.02529471971890318,0.025353696447414815,0.027848066850947453,-0.002494370403532637,0.026706626098142353,0.024035520397848665,0.02462914724867408,0.026706626098142353,-0.002077478849468274,0.024592983973447533,0.021784090633683955,0.021646417176738413,0.024592983973447533,-0.00294656679670912,0.10257443725845457,0.10895270942838346,0.1142615420450926,0.10257443725845457,0.011687104786638036,0.023659469046792208,0.02192529560358324,0.025742503800731627,0.023659469046792208,0.002083034753939419,0.5710106231970272,0.5460000196711503,0.5177764493468509,0.5710106231970272,-0.05323417385017637,0.22360779357518865,0.25200764454644725,0.2705902439344975,0.22360779357518865,0.04698245035930884
2020-08-31,muy_conservador,0.010298898229906416,112.6216471217521,0.1262164712175211,0,0.0,0.027848066850947453,0.027848066850947453,0.029488073771302647,0.029488073771302647,0.0016400069203551942,0.026706626098142353,0.026706626098142353,0.02719767461493152,0.02719767461493152,0.0004910485167891679,0.024592983973447533,0.024592983973447533,0.025842281370949426,0.025842281370949426,0.0012492973975018924,0.10257443725845457,0.10257443725845457,0.10120028343675942,0.10120028343675942,-0.0013741538216951454,0.023659469046792208,0.023659469046792208,0.024105563171807988,0.024105563171807988,0.00044609412501578,0.5710106231970272,0.5710106231970272,0.5648741621168073,0.5648741621168073,-0.006136461080219924,0.22360779357518865,0.22360779357518865,0.22729196151744166,0.22729196151744166,0.003684167942253014
2020-09-30,muy_conservador,-0.0057930503444597655,111.96922425009981,0.11969224250099808,0,0.0,0.027848066850947453,0.029488073771302647,0.028435493540866774,0.028435493540866774,0.0005874266899193216,0.026706626098142353,0.02719767461493152,0.027079763381221346,0.027079763381221346,0.00037313728307899335,0.024592983973447533,0.025842281370949426,0.025608708777710768,0.025608708777710768,0.001015724804263235,0.10257443725845457,0.10120028343675942,0.09754389072766453,0.09754389072766453,-0.005030546530790034,0.023659469046792208,0.024105563171807988,0.022228772363350354,0.022228772363350354,-0.0014306966834418539,0.5710106231970272,0.5648741621168073,0.5685207076411054,0.5685207076411054,-0.002489915555921818,0.22360779357518865,0.22729196151744166,0.23058266356808085,0.23058266356808085,0.0069748699928922075
2020-10-31,muy_conservador,0.008669016035387203,112.9398872505938,0.12939887250593807,0,0.0,0.027848066850947453,0.028435493540866774,0.027488199803874493,0.027488199803874493,-0.00035986704707295994,0.026706626098142353,0.027079763381221346,0.027224552871606068,0.027224552871606068,0.0005179267734637151,0.024592983973447533,0.025608708777710768,0.024812407769908763,0.024812407769908763,0.00021942379646123014,0.10257443725845457,0.09754389072766453,0.09620323901360188,0.09620323901360188,-0.006371198244852688,0.023659469046792208,0.022228772363350354,0.028073605956277253,0.028073605956277253,0.004414136909485045,0.5710106231970272,0.5685207076411054,0.5639546248196428,0.5639546248196428,-0.007055998377384465,0.22360779357518865,0.23058266356808085,0.23224336976508875,0.23224336976508875,0.008635576189900102
2020-11-30,muy_conservador,0.023291835778737304,115.57046455730374,0.15570464557303731,0,0.0,0.027848066850947453,0.027488199803874493,0.02978454351737678,0.02978454351737678,0.0019364766664293279,0.026706626098142353,0.027224552871606068,0.02899699462781085,0.02899699462781085,0.0022903685296684975,0.024592983973447533,0.024812407769908763,0.0266812700161791,0.0266812700161791,0.0020882860427315665,0.10257443725845457,0.09620323901360188,0.0889286534830809,0.0889286534830809,-0.013645783775373663,0.023659469046792208,0.028073605956277253,0.03897841154130673,0.03897841154130673,0.015318942494514525,0.5710106231970272,0.5639546248196428,0.552556901245363,0.552556901245363,-0.01845372195166417,0.22360779357518865,0.23224336976508875,0.2340732255688826,0.2340732255688826,0.010465431993693958
