date,muy_conservador,conservador,moderado,levemente_riesgoso,muy_riesgoso,Plazo fijo UVA,Plazo fijo BADLAR,Money market,Merval
2020-01-31,100.00000000000001,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-02-29,95.64334818697073,95.52110370190385,95.50080885854479,95.10346416008188,94.61863078702301,102.932770325111,102.27052963894849,101.8074599673986,87.2039524209426
2020-03-31,99.3496192151903,98.95123977346476,98.86905071905986,97.54246158342113,96.00367020765921,105.20475421261257,104.67096361513453,103.7965715259799,60.80093674012045
2020-04-30,133.60780144243355,133.5825042340045,133.66331311291393,133.14254958629536,131.83451037905903,108.21625414287006,106.73615863892798,104.91258350113466,81.64270625337863
2020-05-31,129.48519315508204,129.6123259827533,129.7487801347666,129.61370227432326,128.6725102738505,110.87899524074057,108.3054538365825,106.28802164903422,94.31415602627501
2020-06-30,121.7502239372903,121.90274021405315,122.08632779109725,122.27740135235132,121.59399044445708,112.71583736605216,110.63116519876546,107.96816569182089,96.46341207987824
2020-07-31,151.86273245225047,152.67389501490717,153.04263434453415,153.6547128173679,153.18724080146782,114.92147606750048,113.10161497577258,109.65257135551508,122.81154687789864
2020-08-31,151.95280246640627,152.89038240058608,153.25888667978973,154.46954415361998,154.68497158610032,117.2332941621844,115.63013446062695,111.41475160077134,116.7818807810689
2020-09-30,171.5584687636928,172.5170749322347,172.79402134969513,173.7738765023784,173.71347448805798,120.09979749772044,118.12369743530628,113.18545508784266,102.88198191548992
2020-10-31,180.6155277816167,181.675647231229,182.1178920184112,182.86669779325916,182.61802267962204,123.46386464449346,120.67376845773256,115.24807960707855,112.9284997596312
2020-11-30,186.04490707792868,187.58028251180508,187.45185473966944,190.14749858180028,191.50098503235364,127.33018230918746,123.50060159288007,117.7661648608048,136.07401962446616
2020-12-31,186.12796923925657,188.5809752331504,188.88913705322076,191.79131873319628,193.45662575795103,132.1869168920334,126.48862308007891,120.4925368363857,127.73080390893512
2021-01-31,195.91703197923422,198.12761220342605,198.50179351480614,201.50756983268712,203.38660750256403,136.82501611507706,129.5880541329715,123.46555012198888,120.32687163508626
2021-02-28,189.75375842413644,192.70304339587412,192.631449176239,196.43143544724117,198.83057519165837,142.0604887185326,132.5447953743525,126.34534045024026,120.76354991791554
2021-03-31,190.2097526553957,193.010486491489,193.1053551671173,197.19384846342373,200.07792758744586,148.33457908940898,136.07259173642342,129.78127230692195,119.64179564463717
2021-04-30,206.78989890728266,209.9786144606087,210.1173743285339,214.93266617648024,218.53051431313625,154.54527775549474,139.40054723272087,132.93487177848093,122.31904020043365
2021-05-31,216.4888143170035,219.55139987141536,219.61013917930768,224.76892603447143,228.39123077354532,161.2869043687653,142.91875896650956,136.27971148826455,147.78426851089043
2021-06-30,220.0707393367207,222.9052356660789,222.91287457250078,228.3415717688671,232.62123780560032,167.7457726909351,146.40841012934933,139.63946687122447,155.52147560506108
2021-07-31,228.7844894009517,232.0352595751671,232.82138734992841,237.66905042320136,241.92475946697388,173.26321993537493,149.98486130852194,143.11854763959474,164.5810352015607
2021-08-31,232.40480144941293,235.92775338918852,237.25050441947567,242.01051892977074,246.7775360621987,178.9857319277757,153.89307769868537,146.93163294659124,190.62860927205156
2021-09-30,237.21710495157706,240.45397690662207,241.54208740641732,245.83075837346604,249.86305491974858,183.98254624327825,157.6479201855191,150.5747861199007,192.90253793538167
2021-10-31,270.2892763539326,274.8906684745349,277.98593163998976,281.9510008493291,287.6522243988914,189.2934325683765,161.36750882651546,154.02297013669147,208.35525908963066
2021-11-30,273.343186014321,277.76446348427925,280.84477517108303,284.49896632153695,289.88278725843014,196.41410395404625,165.58578457416147,158.1008086425672,197.77013063694736
2021-12-31,267.84375535704817,272.03276076727735,274.94495380840806,279.24045596103394,285.0867066012005,202.45542452791784,169.63201661703513,161.8877915215052,208.20353252359305
2022-01-31,286.13291893473667,290.1361843518891,293.2294551332539,296.8981402902122,302.2645331700825,208.62185641563366,174.09377420828977,166.06844163177465,226.67355524392946
2022-02-28,263.27962991304946,267.2890951404511,270.47195417518486,273.1570810905368,277.0680258764579,215.98581328985566,177.95494594629525,169.4532340375662,219.3486654046474
2022-03-31,258.59081335650217,262.77518976150446,266.26609967449934,268.96679344904777,273.09942271554485,226.85166879122642,183.65635324271406,174.33332267928105,226.80338929969898
2022-04-30,274.9127723166945,278.8208216852905,281.94220508539286,284.07214510732143,286.8548245823657,239.10188140222806,188.89867737366657,178.9097708313357,220.0495748165318
