date,muy_conservador,conservador,moderado,levemente_riesgoso,muy_riesgoso,Plazo fijo UVA,Plazo fijo BADLAR,Money market,Merval
2020-01-31,100.00000000000001,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-02-29,99.096774385882,98.9701159785152,98.94908834249372,98.53739658678448,98.03505717379322,106.64939811476503,105.96324568378253,105.48345580151266,90.352654548668
2020-03-31,96.84160765519772,96.45328502348316,96.3731707741976,95.08007045224356,93.58012478710756,102.5489338701118,102.02861844243975,101.17629976921658,59.2660596725767
2020-04-30,99.67943800962968,99.66056477399373,99.72085304720024,99.3323322040396,98.3564564567835,80.73581991479905,79.63157984467792,78.27108335464405,60.9103584451126
2020-05-31,100.72940613187563,100.82830558067867,100.93445629460676,100.82937622844254,100.09720207822797,86.25523174470017,84.25321675765711,82.68381147500304,73.36907560525098
2020-06-30,101.47668620019452,101.6038058543272,101.75682289481786,101.91607937246113,101.34646831136038,93.94668271064866,92.20914485232824,89.98958125253826,80.40056996093702
2020-07-31,104.1205985776456,104.67675037475718,104.92956657989131,105.34922172463185,105.02871210829711,78.79281957037777,77.54508075296607,75.18033674722697,84.2024344398914
2020-08-31,104.73081614428052,105.37702674463362,105.63101188533012,106.46543641220548,106.6139160088784,80.8010012161671,79.69605138155741,76.79067234209617,80.48987242449424
2020-09-30,103.34208553349978,103.91952342611032,104.08634830259494,104.67658599665197,104.64020149068568,72.3448025329547,71.15445440765143,68.17979354284928,61.973265741904406
2020-10-31,104.1625374961915,104.77391755457828,105.02896394949876,105.4608067182682,105.3173936287806,71.20267890812931,69.59360629825461,66.46456459685535,65.12684283061118
2020-11-30,106.63316754948796,107.51318059829092,107.4395711651748,108.9846015881322,109.7603634712423,72.98034048626322,70.78538482432054,67.49864528139294,77.99194270698419
2020-12-31,109.91375391188464,111.36232232564434,111.54430047000756,113.25811964658904,114.24152986298344,78.06005896386976,74.69505763535,71.15420157531017,75.42860003897157
2021-01-31,110.4703102930016,111.71677406813642,111.92776095966089,113.6226061660892,114.68212545518062,77.15052557390517,73.06987251548911,69.61762075855619,67.84783697378116
2021-02-28,110.99879515748668,112.72401568095708,112.68213576149864,114.90498447447877,116.30839077987332,83.10003036669819,77.53370849215999,73.90726107459949,70.64212404092532
2021-03-31,112.4985895037454,114.1550692674657,114.21117886251685,116.62929740065135,118.33507131045452,87.7317313609203,80.47944138910793,76.75847255309515,70.76153071973002
2021-04-30,113.30712548679844,115.05432975185984,115.13036094028158,117.76882094511694,119.74020268308716,84.68054422660808,76.38223811554855,72.83947754589929,67.0227071566462
2021-05-31,112.91377374180968,114.51112228587547,114.5417588660703,117.2324202454302,119.12170075639816,84.12218933743446,74.54194095115989,71.07922207034974,77.07963808607225
2021-06-30,111.8779714174483,113.31895216879477,113.32283558081448,116.0826374136232,118.25830309265412,85.27738316814376,74.43004905192441,70.98890261582271,79.06288339369053
2021-07-31,112.75057267913036,114.3526314539657,114.74005438213446,117.1291008996591,119.22641804339337,85.38833783310827,73.916195324321,70.53230859146949,81.1095455801598
2021-08-31,113.64574446131492,115.36846487586875,116.01528897174128,118.34293190035304,120.67399910505767,87.52386622835324,75.25358027646834,71.84943988675157,93.21722305751506
2021-09-30,112.5314002371774,114.06691233089433,114.58309179518604,116.61755785604213,118.5304046409202,87.27791173483718,74.78525297143547,71.42988919768149,91.50939055429787
